Week,Track,Lesson title,Topic-specific substantive word count,Actual concepts taught,Worked examples present?,Real visual needed?,Real visual present?,Guided practice present?,Actual independent scenario present?,Subject-specific misconceptions?,Subject-specific career/application connection?,Knowledge checks?,Teach-back?,External resource dependency?,Template-content concern?,Final verdict
01,CETa,The four quantities and the circuit they describe,2318,"A circuit is a complete path, not a pile of parts; Ohm’s law is a relationship, not three unrelated formulas; Power connects the math to heat and ratings; Shock physiology, emergency response, and First Aid boundaries; NEC awareness, overcurrent protection, and lockout/tagout; ESD, technician tool hazards, and PPE; RF exposure and fiber-optic hazards; Ladders, service vehicles, and fire classes; From charge and energy to voltage and current; Ohm's law as a model with limits; Power, heat, and ratings",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w01-dc-quantities.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
01,Career,"Safe bench setup, prediction, and measurement",1811,"The technician’s first measurement happens before power; Meters change the circuit when connected incorrectly; Know the boundary of this course; Recognize the safety rules that surround bench work; Hazard log before continuing a test; Career integration: bench safety, ESD, pre-power control, and hazard logging; A safe bench begins before power is applied; Current limiting is a diagnostic boundary; Measure in a deliberate order",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w01-bench-sequence.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
02,CETa,"Series, parallel, KVL, KCL, and divider reasoning",2668,"Topology determines what is shared; Kirchhoff turns conservation into two diagnostic rules; A divider is only ideal when the load is negligible; Atoms, charge, current, voltage, resistance, and uses of electricity; Electromagnetism and induction; Motors and generators as reciprocal energy converters; Resistive, capacitive, inductive and impedance behavior; Sources, AC measures, duty cycle, pulse width, Ohm’s law, and power; Series/parallel DC and AC networks, KCL/KVL, and resistive calculations; Oscillators, multivibrators, and phase-locked loops; Reactance class, resonance, rectangular/polar form, bandwidth and Q; Filters, integrators/differentiators, and wave shaping; Piezoelectric effect and technician applications; Topology comes before arithmetic; KCL and KVL are conservation laws; Loaded dividers reveal why measuring changes circuits",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w02-kcl-kvl-divider.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
02,Career,Use expected node values to troubleshoot instead of guessing,1266,A schematic is a prediction map; Fault patterns have structure; Change one variable and preserve the evidence; Turn a schematic into a measurement plan; Use the first bad boundary; Different faults leave different signatures,Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w02-fault-boundary.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
03,CETa,What each instrument measures and how the controls map to quantities,2056,"The DMM is several instruments sharing one display; A bench supply has two interacting limits; An oscilloscope is a voltage-versus-time instrument; Analog/digital meters, construction, safety, loading, and leads; Signal generators, frequency counters, RCL substitution, and ESR meters; Logic probes and logic pulsers: observe versus stimulate; Oscilloscope controls and spectrum analyzer operation; Dummy loads, rheostats, isolation transformers, Variacs, and potentiometers; Meters are circuits connected to circuits; Oscilloscopes measure voltage over time; Instrument choice follows the question",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w03-instrument-connections.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
03,Career,"Measurement planning, probe discipline, and uncertainty",1334,"Choose the instrument from the question; Ground clips are electrical connections; Reproducibility belongs in the measurement; Career integration: hypothesis-driven measurement and instruments; Write the question before choosing the probe; Separate accuracy, resolution, repeatability, and loading; Preserve raw evidence and context",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w03-measurement-plan.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
04,CETa,Waveform language and energy-storage behavior,1555,"A waveform needs both vertical and horizontal descriptions; Capacitors oppose instantaneous voltage change; Inductors oppose instantaneous current change; Core formulas, SI prefixes, NIST spelling exceptions, and scientific notation; Number systems and Boolean algebra; Decibels and graphs as engineering representations; Capacitors oppose instantaneous voltage change; Inductors oppose instantaneous current change; Waveform vocabulary connects the time domain to measurements",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w04-rc-rl-response.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
04,Career,Turn time-domain measurements into filter and fault evidence,1141,"The same RC pair can perform different jobs; Measure response as a ratio across frequency; Transient shape is a diagnostic signature; A filter is a transfer relationship, not a label; Time-domain and frequency-domain evidence describe the same network; Faults shift recognizable features",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w04-filter-response.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
05,CETa,Interleaved foundation retrieval and error repair,1147,"Mixed practice tests selection, not just execution; Use three independent checks; A correction is a new performance, not rereading; Interleaving forces model selection; A correction should attack the error mechanism; Confidence comes from changed-context retrieval",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w05-model-selection.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
05,Career,A complete troubleshooting loop under a practical gate,1109,Start with an observable failure statement; Let each measurement shrink the fault space; Verification is more than seeing the output once; Freeze the symptom before changing anything; Competing hypotheses make measurements useful; Root cause requires verification after the fix,Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w05-troubleshooting-loop.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
