week,source_id,title,provider,kind,source_url,disposition,lesson_track,lesson_title,segment_id,segment_title,instructional_role,display_treatment,why_here,watch_for,decision_reason
1,mathScienceVoltageCurrentResistance,"Lesson 1 - Voltage, Current, Resistance (Engineering Circuit Analysis)",Math and Science (Jason Gibson),Beginner YouTube engineering lecture,https://www.youtube.com/watch?v=OGa_b26eK2c,contextual lesson placement,CETa,The four quantities and the circuit they describe,concept-1,Start with charge: what electricity is actually moving,core,primary,"Watch this before the denser Week 1 technical media. Use it to build one mental picture of a closed circuit and of voltage, current, resistance, amps, milliamps, and microamps before formal equation work.","Listen for the everyday physical analogies, the closed-loop requirement, the difference between voltage/current/resistance, and the move from amps to smaller metric-prefixed current units.","Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
1,afrotechmodsWhatIsAmp,Basic Electricity - What is an amp?,Afrotechmods,Beginner YouTube electronics tutorial,https://www.youtube.com/watch?v=8gvJzrjwjds,contextual lesson placement,CETa,The four quantities and the circuit they describe,concept-2,Current: charge moving through a path over time,reinforcement,compact,Use this when current still feels like just a letter I in an equation. Focus on what moving charge means and what an ampere represents physically.,"Connect amperes to rate of charge flow, keep conventional-current language separate from electron motion, and say current goes through a path rather than across it.","Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
1,afrotechmodsWhatIsVoltage,Basic Electricity - What is voltage?,Afrotechmods,Beginner YouTube electronics tutorial,https://www.youtube.com/watch?v=TBt-kxYfync,contextual lesson placement,CETa,The four quantities and the circuit they describe,concept-3,Voltage: an energy difference between two points,reinforcement,compact,Use this immediately after current so voltage becomes an understandable physical idea instead of a number that appears in formulas.,"Connect volts to energy per charge, distinguish voltage from current, and notice that voltage is always a difference between two points even when a reference node is implied.","Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
1,afrotechmodsResistanceOhmsLaw,Basic Electricity - Resistance and Ohm's law,Afrotechmods,Beginner YouTube electronics tutorial with practical circuit demo,https://www.youtube.com/watch?v=NfcgA1axPLo,contextual lesson placement,CETa,The four quantities and the circuit they describe,concept-5,Resistance: why the same voltage does not produce the same current everywhere,demonstration,primary,"Watch after current and voltage. Use the resistor/LED example to connect resistance to a real component and then connect voltage, current, and resistance through Ohm's law.","Predict direction first: at fixed voltage, more resistance means less current. Then connect that physical relationship to V = IR instead of treating the formula as isolated memorization.","Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
1,afrotechmodsPowerWatts,Basic Electricity - Power and watts,Afrotechmods,Beginner YouTube electronics tutorial with practical measurement demo,https://www.youtube.com/watch?v=VSpB3HivkhY,contextual lesson placement,CETa,The four quantities and the circuit they describe,concept-10,Power: how quickly electrical energy is transferred,demonstration,primary,Use this after Ohm's law to give watts a physical meaning and to see why component power ratings matter in an actual circuit.,"Connect power to the rate of energy transfer, relate P = VI to measured voltage/current, and notice how a resistor can be electrically correct in ohms yet undersized in watts.","Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
1,organicChemTutorBasicCircuits,"Electric Current & Circuits Explained, Ohm's Law, Charge, Power, Physics Problems, Basic Electricity",The Organic Chemistry Tutor,YouTube worked-example physics tutorial,https://www.youtube.com/watch?v=r-SCyD7f_zI,contextual lesson placement,CETa,The four quantities and the circuit they describe,worked,Worked reasoning,reinforcement,primary,"Use this after the concepts make sense. Work along with the examples instead of watching passively, pausing before each calculation to predict the relationship and units.","Practice V = IR, P = VI, Q = It, current as coulombs per second, conventional current versus electron flow, and dimensional/unit checks.","Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
1,afrotechmodsMultimeter,THE BEST Multimeter tutorial (HD),Afrotechmods,Beginner YouTube multimeter demonstration,https://www.youtube.com/watch?v=bF3OyQ3HwfU,contextual lesson placement,Career,"Safe bench setup, prediction, and measurement",career-w01-voltage-resistance-and-current-modes-are-different-circuits,"Voltage, resistance, and current modes are different circuits",demonstration,primary,"Use this after you can predict voltage, current, and resistance conceptually. Connect the quantities to what a real meter measures before the Week 1 bench workflow.","Notice mode/range selection, probe jacks, voltage measured across two points, current measured through a circuit path, de-energized resistance/continuity checks, and the consequences of using the current jack incorrectly.","Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
1,aacElectricalA,"Electrical Quantities A — Voltage, Current, Resistance, and Charge",North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/electrical-quantities-a/,contextual lesson placement,CETa,The four quantities and the circuit they describe,concept-11,Put the model together: predict before you measure,review,compact,"Build the physical meaning of charge, voltage, current and resistance before using formulas.","Explain each quantity, its unit, and whether it is measured across or through a circuit element.","Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
1,aacElectricalB,Electrical Quantities B — Ohm’s Law and Electrical Power,North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/electrical-quantities-b/,contextual lesson placement,CETa,The four quantities and the circuit they describe,concept-10,Power: how quickly electrical energy is transferred,reinforcement,compact,Learn Ohm’s law as a relationship and electrical power as energy-rate/rating evidence; work the examples.,"Predict direct/inverse relationships before calculating; rearrange V=IR and verify P=VI, I²R and V²/R with units.","Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
1,aacTechnicalNotation,Technical Notation — Engineering Notation and SI Prefixes,North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/technical-notation/,contextual lesson placement,CETa,The four quantities and the circuit they describe,concept-6,SI prefixes are multipliers attached to units,core,primary,Learn scientific/engineering notation and SI prefixes used throughout electronics.,Convert base units ↔ milli/micro/nano/pico/kilo/mega/giga without losing powers of ten.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
