Week,Topic,Required Study Guide,Required printed pages,Study Guide min,Universal media count,Universal media min,Conditional media count,Conditional media min,Calendar hours,Feasibility
1,"Electricity, Safety, Ohm’s Law, and Power",Ch.3 pp.16–18,3,11,3,22,0,0,8.50,PASS
2,"DC Networks, Kirchhoff’s Laws, and Voltage Dividers",Ch.4 pp.27–31,5,19,0,0,0,0,8.00,PASS
3,"DMM, Bench Supply, and Oscilloscope",None,0,0,1,46,0,0,7.75,PASS
4,"AC Waveforms, Capacitors, Inductors, and Time Response",Ch.3 pp.19–22,4,15,0,0,0,0,7.50,PASS
5,Foundation Mastery and Practical Fault Isolation,None,0,0,0,0,0,0,5.75,PASS
6,"Reactance, Impedance, Resonance, Filters, and Transformers",Ch.6 pp.45–49,5,19,0,0,1,12,7.50,PASS
7,"Components, Magnetism, Relays, Motors, and Generators",Ch.7 pp.53–57,5,19,2,29,0,0,7.50,PASS WITH HARD CAP
8,"Diodes, BJTs, MOSFETs, and Controlled Switching","Ch.9 pp.72–73, pp.75–76",4,14,0,0,0,0,7.50,PASS
9,"Rectifiers, Filters, Regulators, and Power-Supply Faults",Ch.11 pp.85–89,5,19,0,0,0,0,7.50,PASS
10,"Amplifiers, Op-Amps, Gain, Decibels, and Loading","Ch.12 p.91, pp.95–96, p.98",4,17,0,0,0,0,7.50,PASS
11,"Number Systems, Boolean Logic, and Digital Circuits","Ch.16 pp.132–136, pp.138–140",8,28,1,2,0,0,7.50,PASS WITH HARD CAP
12,"Soldering, ESD, Rework, and Version-Controlled Repair",None,0,0,1,10,2,15,7.25,PASS
13,"Schematics, Datasheets, Signal Flow, and Root Cause",Ch.18 pp.161–162,2,9,0,0,0,0,7.75,PASS
14,C Fundamentals and Computer Architecture,Ch.17 pp.149–150,2,9,0,0,0,0,7.75,PASS
15,"Embedded C, Bit Operations, State Machines, and Timing",None,0,0,0,0,0,0,7.50,PASS
16,"STM32 Project Setup, GPIO, Clocks, and SWD Debug",None,0,0,2,50,0,0,6.75,PASS
17,UART Communication and Python Serial Control,None,0,0,1,20,0,0,7.00,PASS
18,"I²C, SPI, Logic Analysis, Sensors, and Actuators",None,0,0,1,30,1,25,7.50,PASS
19,"Cabling, Audio/Video Signal Paths, and Optical Systems",Ch.13 pp.108–109 + Ch.9 p.77,3,11,0,0,1,15,7.25,PASS
20,"RF, Telecommunications, Spectrum, and Technician Procedures",Ch.13 pp.104–107 + Ch.14 pp.113–114 + Ch.15 pp.120–121,8,28,1,20,0,0,7.25,PASS WITH HARD CAP
21,CETa Integration I and Mixed Technician Decisions,None,0,0,1,20,0,0,6.75,PASS
22,CETa Repair II and Project Requirements,None,0,0,2,40,0,0,6.75,PASS
23,CETa Readiness Gate and Reproducible Project Setup,None,0,0,1,10,0,0,6.75,PASS
24,Safe Hardware Bring-Up and CETa Power/Measurement Retention,None,0,0,0,0,0,0,6.50,PASS
25,Sensor/Interface Integration and CETa Interface Retention,None,0,0,0,0,1,20,6.50,PASS
26,"Firmware Architecture, Diagnostics, and CETa Digital Retention",None,0,0,0,0,1,20,6.25,PASS
27,"Python Hardware Test, Logging, and CETa Computer-Application Retention",None,0,0,0,0,0,0,6.75,PASS
28,"Fault Injection, Root Cause, and Technical Test Reporting",Ch.21 pp.182–184 + Ch.22 pp.188–190,6,23,0,0,0,0,7.25,PASS WITH HARD CAP
29,"Instrumentation, Rework, Harnesses, and Role-Proof Integration",None,0,0,0,0,0,0,6.50,PASS
30,"Portfolio, Resume, Interview Defense, and CETa Retention",None,0,0,1,20,0,0,6.75,PASS
31,"Application Sprint, Interview Feedback, and Continuing Mastery",None,0,0,2,25,0,0,6.50,PASS
