Task ID,Week,Standards Assessed,Review Section ID(s),Review Section Title(s),All Targets Exist?,All Targets Same Week?,Prerequisite-Correct Remediation?,Production Route Version,Learner-Facing Chromium Click(s)
SEM-C1-01-075,1,C1.1; C1.2; C1.3; C1.4; C1.5; C1.6,career-w01-meet-the-bench-before-you-use-it; career-w01-first-power-is-a-staged-observation-not-a-single-switch-action,"Meet the bench before you use it | First power is a staged observation, not a single switch action",PASS,PASS,PASS,16.3.42,PASS
SEM-C2-13-076,13,C2.1; C2.2; C2.3; C2.4; C2.5; C2.6,career-w13-choose-the-representation-that-answers-the-troubleshooting-question; career-w13-separate-expected-behavior-from-observed-behavior,Choose the representation that answers the troubleshooting question | Separate expected behavior from observed behavior,PASS,PASS,PASS,16.3.42,PASS
SEM-C7-15-081,15,C7.1; C7.2; C7.3; C7.4; C7.5; C7.6,career-w15-map-c-onto-a-microcontroller-before-adding-concurrency; career-w15-state-machines-make-behavior-explicit; career-w15-polling-and-interrupts-are-two-ways-to-notice-events,Map C onto a microcontroller before adding concurrency | State machines make behavior explicit | Polling and interrupts are two ways to notice events,PASS,PASS,PASS,16.3.42,PASS
SEM-C9-18-083,18,C9.1; C9.2; C9.3; C9.4; C9.5; C9.6,career-w18-activate-the-ceta-bus-model-and-choose-i2c-as-the-first-complete-path; career-w18-only-now-generalize-the-model-to-spi; career-w18-reconnect-uart-without-reteaching-it,Activate the CETa bus model and choose I²C as the first complete path | Only now generalize the model to SPI | Reconnect UART without reteaching it,PASS,PASS,PASS,16.3.42,PASS
SEM-C10-27-084,27,C10.1; C10.2; C10.3; C10.4; C10.5; C10.6,career-w27-a-test-case-has-setup-stimulus-acquisition-evaluation-cleanup-and-report; career-w27-summaries-and-plots-answer-a-hardware-question; career-w27-i-do-we-do-you-do-requirement-to-automated-evidence,"A test case has setup, stimulus, acquisition, evaluation, cleanup, and report stages | Summaries and plots answer a hardware question | I DO → WE DO → YOU DO: requirement to automated evidence",PASS,PASS,PASS,16.3.42,PASS
SEM-C11-28-085,28,C11.1; C11.2; C11.3; C11.4; C11.5; C11.6,career-w28-career-integration-verification-validation-test-design-and-traceability; career-w28-the-report-should-show-the-reasoning-chain,"Career integration: verification, validation, test design, and traceability | The report should show the reasoning chain",PASS,PASS,PASS,16.3.42,PASS
SEM-C3-03-1640A,3,C3.1; C3.2; C3.3; C3.4; C3.6,career-w03-start-with-a-measurable-question-not-with-a-probe; career-w03-learn-the-oscilloscope-on-a-known-waveform-first,"Start with a measurable question, not with a probe | Learn the oscilloscope on a known waveform first",PASS,PASS,PASS,16.3.42,PASS
SEM-C3-18-1640B,18,C3.5,career-w18-learn-the-logic-analyzer-on-that-known-good-i2c-transaction,Learn the logic analyzer on that known-good I²C transaction,PASS,PASS,PASS,16.3.42,PASS
SEM-C4-12-1640A,12,C4.1; C4.2; C4.5; C4.6,career-w12-career-integration-solder-rework-workmanship-and-harness-evidence; career-w12-a-physical-change-needs-a-before-after-record,Career integration: solder/rework workmanship and harness evidence | A physical change needs a before/after record,PASS,PASS,PASS,16.3.42,PASS
SEM-C4-19-1640B,19,C4.3; C4.4,career-w19-termination-quality-is-a-process-not-a-beep; career-w19-document-orientation-and-reference,"Termination quality is a process, not a beep | Document orientation and reference",PASS,PASS,PASS,16.3.42,PASS
SEM-C5-13-1640A,13,C5.1; C5.2; C5.3; C5.4; C5.6,career-w13-build-a-fault-model-before-probing; career-w13-choose-a-high-information-test; career-w13-root-cause-requires-a-causal-chain,Build a fault model before probing | Choose a high-information test | Root cause requires a causal chain,PASS,PASS,PASS,16.3.42,PASS
SEM-C5-28-1640B,28,C5.5,career-w28-controlled-fault-injection-needs-a-known-good-baseline; career-w28-regression-proves-the-correction-did-not-create-a-new-problem,Controlled fault injection needs a known-good baseline | Regression proves the correction did not create a new problem,PASS,PASS,PASS,16.3.42,PASS
SEM-C6-14-1640,14,C6.1; C6.2; C6.3; C6.4; C6.5; C6.6; C6.7,career-w14-a-c-program-is-source-text-that-must-be-translated-before-it-runs; career-w14-i-do-we-do-you-do-inspect-set-clear-toggle-and-shift-a-bit; career-w14-addresses-and-pointers-make-memory-locations-explicit,"A C program is source text that must be translated before it runs | I DO → WE DO → YOU DO: inspect, set, clear, toggle, and shift a bit | Addresses and pointers make memory locations explicit",PASS,PASS,PASS,16.3.42,PASS
SEM-C8-16-1640,16,C8.1; C8.2; C8.3; C8.4; C8.5; C8.6; C8.7,career-w16-identify-the-physical-board-target-mcu-and-debug-path-first; career-w16-bring-up-is-a-ladder-of-proofs; career-w16-after-the-gpio-baseline-add-one-timer-proof; career-w16-then-prove-one-adc-conversion-with-a-known-input,"Identify the physical board, target MCU, and debug path first | Bring-up is a ladder of proofs | After the GPIO baseline, add one timer proof | Then prove one ADC conversion with a known input",PASS,PASS,PASS,16.3.42,PASS
SEM-C12-12-1640,12,C12.1; C12.2; C12.3; C12.4; C12.5; C12.6; C12.7,career-w12-version-control-exists-because-project-files-change; career-w12-command-line-navigation-is-a-small-reproducibility-tool-not-assumed-know; career-w12-lab-notes-preserve-the-conditions-that-git-cannot; career-w12-a-test-report-turns-evidence-into-a-decision,"Version control exists because project files change | Command-line navigation is a small reproducibility tool, not assumed knowledge | Lab notes preserve the conditions that Git cannot | A test report turns evidence into a decision",PASS,PASS,PASS,16.3.42,PASS
SEM-C13-30-1640A,30,C13.1; C13.2; C13.3; C13.4; C13.5,career-w30-a-resume-bullet-is-a-compact-evidence-claim; career-w30-interview-answers-should-expose-technical-decisions; career-w30-target-roles-by-transferable-task-not-title-alone,"A resume bullet is a compact evidence claim | Interview answers should expose technical decisions | Target roles by transferable task, not title alone",PASS,PASS,PASS,16.3.42,PASS
SEM-C13-31-1640B,31,C13.6,career-w31-repair-narrowly-and-return-to-the-market; career-w31-change-one-weak-variable-at-a-time,Repair narrowly and return to the market | Change one weak variable at a time,PASS,PASS,PASS,16.3.42,PASS
