Printed page,Classification,Disposition note,Mapped record IDs,Primary week(s),Chapter(s),Errata,Current-authority note
1,reference,Historical/current-certification reference,sg-w31-ch01-p001-006,31,1,,Current ETA exam/certification information controls; this chapter is historical/reference.
2,reference,Historical/current-certification reference,sg-w31-ch01-p001-006,31,1,,Current ETA exam/certification information controls; this chapter is historical/reference.
3,reference,Historical/current-certification reference,sg-w31-ch01-p001-006,31,1,,Current ETA exam/certification information controls; this chapter is historical/reference.
4,reference,Historical/current-certification reference,sg-w31-ch01-p001-006,31,1,,Current ETA exam/certification information controls; this chapter is historical/reference.
5,reference,Historical/current-certification reference,sg-w31-ch01-p001-006,31,1,,Current ETA exam/certification information controls; this chapter is historical/reference.
6,reference,Historical/current-certification reference,sg-w31-ch01-p001-006,31,1,,Current ETA exam/certification information controls; this chapter is historical/reference.
7,study,Safety reinforcement,sg-w01-ch02-p007-015,1,2,,"Current Alfred, OSHA and medical guidance controls whenever wording differs."
8,study,Safety reinforcement,sg-w01-ch02-p007-015,1,2,,"Current Alfred, OSHA and medical guidance controls whenever wording differs."
9,study,Safety reinforcement,sg-w01-ch02-p007-015,1,2,,"Current Alfred, OSHA and medical guidance controls whenever wording differs."
10,study,Safety reinforcement,sg-w01-ch02-p007-015,1,2,,"Current Alfred, OSHA and medical guidance controls whenever wording differs."
11,study,Safety reinforcement,sg-w01-ch02-p007-015,1,2,,"Current Alfred, OSHA and medical guidance controls whenever wording differs."
12,study,Safety reinforcement,sg-w01-ch02-p007-015,1,2,,"Current Alfred, OSHA and medical guidance controls whenever wording differs."
13,study,Safety reinforcement,sg-w01-ch02-p007-015,1,2,,"Current Alfred, OSHA and medical guidance controls whenever wording differs."
14,study,Safety reinforcement,sg-w01-ch02-p007-015,1,2,,"Current Alfred, OSHA and medical guidance controls whenever wording differs."
15,study,Safety reinforcement,sg-w01-ch02-p007-015,1,2,,"Current Alfred, OSHA and medical guidance controls whenever wording differs."
16,required,Week 1,sg-w01-ch03-p016-018,1,3,,
17,required,Week 1,sg-w01-ch03-p016-018,1,3,,
18,required,Week 1,sg-w01-ch03-p016-018,1,3,,
19,required,Week 4,sg-w04-ch03-p019-022,4,3,,
20,required,Week 4,sg-w04-ch03-p019-022,4,3,,
21,required,Week 4,sg-w04-ch03-p019-022,4,3,,
22,required,Week 4,sg-w04-ch03-p019-022,4,3,,
23,study,Formula/DC review,sg-w06-ch03-p023-024,6,3,,
24,study,Formula/DC review,sg-w06-ch03-p023-024,6,3,,
25,study,Formula/DC review,sg-w02-ch04-p025-026,2,4,,
26,study,Formula/DC review,sg-w02-ch04-p025-026,2,4,,
27,required,Week 2,sg-w02-ch04-p027-031,2,4,,
28,required,Week 2,sg-w02-ch04-p027-031,2,4,,
29,required,Week 2,sg-w02-ch04-p027-031,2,4,,
30,required,Week 2,sg-w02-ch04-p027-031,2,4,,
31,required,Week 2,sg-w02-ch04-p027-031,2,4,,
32,study,Troubleshooting/passive-component review,sg-w05-ch04-p032-035,5,4,,
33,study,Troubleshooting/passive-component review,sg-w05-ch04-p032-035,5,4,,
34,study,Troubleshooting/passive-component review,sg-w05-ch04-p032-035,5,4,,
35,study,Troubleshooting/passive-component review,sg-w05-ch04-p032-035,5,4,,
36,study,Troubleshooting/passive-component review,sg-w07-ch05-p036-044,7,5,,
