ID,Previous Standard,Final Standard,Status,Source Relationship,Primary Source ID,Primary Source,Primary Source URL,Secondary Source IDs,Secondary Sources / URLs,Why Relevant,Alfred Adaptation,Prerequisite Standard Codes,Prerequisite Detail,Foundation Teaching Week,Foundation Teaching Section ID,Foundation Teaching Section,First Introduction Week,First Guided-Practice Week,First Application Week,Reinforcement Weeks,Mastery Week,Semantic Evidence Task ID,Associated Question IDs,Associated Lab / Project Evidence,Instructional Home,Traceability Version
C1.1,"Prepare a low-voltage electronics bench using current limits, safe power-up sequencing, and an explicit stop condition.","Prepare a low-voltage electronics bench using current limits, safe power-up sequencing, and an explicit stop condition.",KEEP,Informed by,pccEET101A,EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,gptcElectronics; flukeSafety; nasaESD,gptcElectronics: Electronics Technology — current catalog — https://www.gptc.edu/college-catalog/current/programs/electronics-technology; flukeSafety: Electrical Measurement Safety — https://www.fluke.com/en-us/learn/online-courses/electrical-measurement-safety; nasaESD: NASA-HDBK-8739.21 — ESD Control — https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,,"CETA-W01 (electrical quantities, polarity/reference, safety boundaries); no prior bench-equipment experience assumed",1,career-w01-first-power-is-a-staged-observation-not-a-single-switch-action,"First power is a staged observation, not a single switch action",1,1,3,3; 5; 9; 23; 24,1,SEM-C1-01-075,,Required semantic task SEM-C1-01-075; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.,"Week 1 Career — First power is a staged observation, not a single switch action",16.3.42
C1.2,"Apply ESD controls appropriate to CMOS/semiconductor handling and explain when straps, mats, grounding, and antistatic storage matter.","Apply ESD controls appropriate to CMOS/semiconductor handling and explain when straps, mats, grounding, and antistatic storage matter.",KEEP,Informed by,pccEET101A,EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,gptcElectronics; flukeSafety; nasaESD,gptcElectronics: Electronics Technology — current catalog — https://www.gptc.edu/college-catalog/current/programs/electronics-technology; flukeSafety: Electrical Measurement Safety — https://www.fluke.com/en-us/learn/online-courses/electrical-measurement-safety; nasaESD: NASA-HDBK-8739.21 — ESD Control — https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,,"CETA-W01 (electrical quantities, polarity/reference, safety boundaries); no prior bench-equipment experience assumed",1,career-w01-career-integration-bench-safety-esd-pre-power-control-and-hazard-logging,"Career integration: bench safety, ESD, pre-power control, and hazard logging",1,1,8,8; 12; 24; 29,1,SEM-C1-01-075,,Required semantic task SEM-C1-01-075; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.,"Week 1 Career — Career integration: bench safety, ESD, pre-power control, and hazard logging",16.3.42
C1.3,"Distinguish safe low-voltage troubleshooting from work that requires qualified supervision, isolation, or energized-work procedures.","Distinguish safe low-voltage troubleshooting from work that requires qualified supervision, isolation, or energized-work procedures.",KEEP,Informed by,pccEET101A,EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,gptcElectronics; flukeSafety; nasaESD,gptcElectronics: Electronics Technology — current catalog — https://www.gptc.edu/college-catalog/current/programs/electronics-technology; flukeSafety: Electrical Measurement Safety — https://www.fluke.com/en-us/learn/online-courses/electrical-measurement-safety; nasaESD: NASA-HDBK-8739.21 — ESD Control — https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,,"CETA-W01 (electrical quantities, polarity/reference, safety boundaries); no prior bench-equipment experience assumed",1,career-w01-career-integration-bench-safety-esd-pre-power-control-and-hazard-logging,"Career integration: bench safety, ESD, pre-power control, and hazard logging",1,1,3,3; 9; 20,1,SEM-C1-01-075,,Required semantic task SEM-C1-01-075; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.,"Week 1 Career — Career integration: bench safety, ESD, pre-power control, and hazard logging",16.3.42
C1.4,"Perform a pre-power inspection for polarity, shorts, connector orientation, exposed conductors, and current-limit settings.","Perform a pre-power inspection for polarity, shorts, connector orientation, exposed conductors, and current-limit settings.",KEEP,Informed by,pccEET101A,EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,gptcElectronics; flukeSafety; nasaESD,gptcElectronics: Electronics Technology — current catalog — https://www.gptc.edu/college-catalog/current/programs/electronics-technology; flukeSafety: Electrical Measurement Safety — https://www.fluke.com/en-us/learn/online-courses/electrical-measurement-safety; nasaESD: NASA-HDBK-8739.21 — ESD Control — https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,,"CETA-W01 (electrical quantities, polarity/reference, safety boundaries); no prior bench-equipment experience assumed",1,career-w01-pre-power-inspection-creates-the-first-known-good-state,Pre-power inspection creates the first known-good state,1,1,3,3; 5; 7; 9; 21; 23; 24,1,SEM-C1-01-075,CAREER-W23-GATE,Required semantic task SEM-C1-01-075; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.,Week 1 Career — Pre-power inspection creates the first known-good state,16.3.42
C1.5,"Choose PPE, ventilation, and tool practices appropriate to soldering, rework, cutting, crimping, and bench assembly.","Choose ESD controls, PPE, ventilation, and tool practices appropriate to low-voltage bench inspection, measurement, and basic assembly, and identify when soldering, rework, cutting, or crimping requires process-specific controls taught later.",REWRITE,Informed by,pccEET101A,EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,gptcElectronics; flukeSafety; nasaESD,gptcElectronics: Electronics Technology — current catalog — https://www.gptc.edu/college-catalog/current/programs/electronics-technology; flukeSafety: Electrical Measurement Safety — https://www.fluke.com/en-us/learn/online-courses/electrical-measurement-safety; nasaESD: NASA-HDBK-8739.21 — ESD Control — https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921,Rewritten so Week 1 mastery covers general bench safety and escalation boundaries without falsely claiming process-specific soldering/crimping mastery before later workmanship instruction.,Alfred teaches the general bench-control decision in Week 1 and defers process-specific workmanship/tool technique to the later solder/rework and harness lessons.,,CETA-W01 electrical quantities/polarity/reference plus Week 1 general bench-safety boundary; process-specific solder/crimp technique is intentionally deferred.,1,career-w01-career-integration-bench-safety-esd-pre-power-control-and-hazard-logging,"Career integration: bench safety, ESD, pre-power control, and hazard logging",1,1,12,12; 19; 29,1,SEM-C1-01-075,,Required semantic task SEM-C1-01-075; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.,"Week 1 Career — Career integration: bench safety, ESD, pre-power control, and hazard logging",16.3.42
C1.6,Document a safety or setup hazard and the corrective action before continuing a test.,Document a safety or setup hazard and the corrective action before continuing a test.,KEEP,Informed by,pccEET101A,EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,gptcElectronics; flukeSafety; nasaESD,gptcElectronics: Electronics Technology — current catalog — https://www.gptc.edu/college-catalog/current/programs/electronics-technology; flukeSafety: Electrical Measurement Safety — https://www.fluke.com/en-us/learn/online-courses/electrical-measurement-safety; nasaESD: NASA-HDBK-8739.21 — ESD Control — https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,,"CETA-W01 (electrical quantities, polarity/reference, safety boundaries); no prior bench-equipment experience assumed",1,career-w01-career-integration-bench-safety-esd-pre-power-control-and-hazard-logging,"Career integration: bench safety, ESD, pre-power control, and hazard logging",1,1,1,,1,SEM-C1-01-075,,Required semantic task SEM-C1-01-075; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.,"Week 1 Career — Career integration: bench safety, ESD, pre-power control, and hazard logging",16.3.42
C2.1,"Read a schematic by following power rails, grounds, signal flow, reference designators, and functional blocks.","Read a schematic by following power rails, grounds, signal flow, reference designators, and functional blocks.",KEEP,Informed by,gptcElectronics,Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,pccEET101B; onetTech,pccEET101B: EET 101B — Electronic Equipment and Lab Skills — https://www.pcc.edu/ccog/eet/101b/; onetTech: Electrical and Electronic Engineering Technologists and Technicians — https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,,CETA-W02 and relevant device/datasheet theory; C1 safe bench habits,2,career-w02-a-schematic-is-a-prediction-map,A schematic is a prediction map,2,2,5,5; 9; 13,13,SEM-C2-13-076,,Required semantic task SEM-C2-13-076; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.,Week 2 Career — A schematic is a prediction map,16.3.42
C2.2,"Use a component datasheet to identify pinout, absolute maximum ratings, recommended operating conditions, and key electrical characteristics.","Use a component datasheet to identify pinout, absolute maximum ratings, recommended operating conditions, and key electrical characteristics.",KEEP,Informed by,gptcElectronics,Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,pccEET101B; onetTech,pccEET101B: EET 101B — Electronic Equipment and Lab Skills — https://www.pcc.edu/ccog/eet/101b/; onetTech: Electrical and Electronic Engineering Technologists and Technicians — https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,,CETA-W02 and relevant device/datasheet theory; C1 safe bench habits,7,career-w07-read-a-datasheet-by-engineering-question,Read a datasheet by engineering question,7,7,8,8; 10; 13; 18; 25,13,SEM-C2-13-076,CAREER-W07-CHECK-2; CAREER-W07-GATE,Required semantic task SEM-C2-13-076; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.,Week 7 Career — Read a datasheet by engineering question,16.3.42
C2.3,"Distinguish a schematic, wiring diagram, block diagram, layout/PCB view, and timing diagram and choose the right artifact for a troubleshooting task.","Distinguish a schematic, wiring diagram, block diagram, layout/PCB view, and timing diagram and choose the right artifact for a troubleshooting task.",KEEP,Informed by,gptcElectronics,Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,pccEET101B; onetTech,pccEET101B: EET 101B — Electronic Equipment and Lab Skills — https://www.pcc.edu/ccog/eet/101b/; onetTech: Electrical and Electronic Engineering Technologists and Technicians — https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,,CETA-W02 and relevant device/datasheet theory; C1 safe bench habits,13,career-w13-choose-the-representation-that-answers-the-troubleshooting-question,Choose the representation that answers the troubleshooting question,13,13,19,19; 22,13,SEM-C2-13-076,,Required semantic task SEM-C2-13-076; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.,Week 13 Career — Choose the representation that answers the troubleshooting question,16.3.42
C2.4,Trace a signal or power path from connector to load and identify useful test points before probing.,Trace a signal or power path from connector to load and identify useful test points before probing.,KEEP,Informed by,gptcElectronics,Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,pccEET101B; onetTech,pccEET101B: EET 101B — Electronic Equipment and Lab Skills — https://www.pcc.edu/ccog/eet/101b/; onetTech: Electrical and Electronic Engineering Technologists and Technicians — https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,,CETA-W02 and relevant device/datasheet theory; C1 safe bench habits,2,career-w02-turn-a-schematic-into-a-measurement-plan,Turn a schematic into a measurement plan,2,2,5,5; 9; 13; 19; 21,13,SEM-C2-13-076,,Required semantic task SEM-C2-13-076; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.,Week 2 Career — Turn a schematic into a measurement plan,16.3.42
