Week,Career lesson,Foundational CETa knowledge,Career prerequisite activation,Career-owned new learning,Later deepening/mastery,Difficulty
1,"Safe bench setup, prediction, and measurement","Voltage, current, resistance, power, polarity, reference, open/short circuit, and Week 1 safety boundaries.",Use only the Week 1 CETa electrical-quantity and safety foundation. No prior bench-equipment experience is assumed.,"Bench power supply, DMM modes/jacks, current limiting, pre-power inspection, first-power sequence, stop conditions, and hazard logging.","Creates the bench habits required for every later measurement, bring-up, troubleshooting, and lab task.",Foundation
2,Use expected node values to troubleshoot instead of guessing,"Series/parallel networks, KVL/KCL, dividers, expected node values, and reference-node reasoning.",Bring forward Week 1 safe measurement habits plus the Week 2 CETa network equations and expected-node reasoning.,"Expected-versus-actual troubleshooting, node tables, first hypotheses, divide-and-conquer test-point selection, and one-change-at-a-time discipline.",Prepares the learner to choose instruments and high-information measurements rather than probe randomly.,Foundation
3,"Measurement planning, probe discipline, and uncertainty","DMM/scope connection rules, waveform quantities, measurement units, and safe references.",Use Week 1 bench safety and the CETa measurement concepts already taught. No professional measurement-planning experience is assumed.,"Question-first instrument selection, DMM/bench-supply/scope onboarding, probe/reference discipline, loading/accuracy/resolution, reproducible evidence, and logic-analyzer boundaries.","Becomes the common measurement workflow for filters, semiconductors, digital buses, MCU bring-up, RF work, and automated test.",Foundation
4,Turn time-domain measurements into filter and fault evidence,"Capacitance, RC time behavior, frequency response, and filter fundamentals.","Use the Week 3 measurement workflow plus CETa RC/filter behavior. The learner should already know amplitude, period, frequency, and time constant.","Turn time-domain observations into evidence about cutoff, charging/discharging, distortion, and fault location.",Builds the habit of predicting waveform shape before using a scope for diagnosis.,Foundation
5,A complete troubleshooting loop under a practical gate,Cumulative DC/AC/component fundamentals needed for the first troubleshooting gate.,"Use Weeks 1–4 safety, expected-value, and instrument-selection habits. No new tool should appear without explanation.",A complete reproduce → predict → measure → isolate → repair → verify troubleshooting loop under a practical gate.,Establishes the troubleshooting model reused through the rest of the course.,Foundation
6,Characterize a filter or resonant network like a technician,RLC/resonance/filter response and frequency-domain relationships.,Bring forward Week 3 measurement planning and Week 4 waveform/filter evidence.,"Characterization tables, sweep planning, resonant/filter comparison, tolerance reasoning, and technician reporting.",Prepares for transistor/op-amp signal chains and later spectrum work.,Foundation
7,Read a datasheet and design a relay/inductive-load interface,"Diodes, rectification, inductance, switching devices, and protection concepts.",Use CETa device behavior plus prior pre-power and measurement discipline. Datasheet reading is introduced explicitly before design use.,"Datasheet pin/rating extraction, relay/inductive-load interface planning, flyback protection, and evidence-based component selection.",Prepares protected transistor/MOSFET switching and regulator bring-up.,Intermediate
8,Design and diagnose a protected low-side switch,"Transistor/MOSFET switching behavior, protection, power dissipation, and bias/control ideas.",Use Week 7 datasheet and inductive-load discipline plus CETa transistor/MOSFET fundamentals.,"Protected low-side switching, gate/base drive checks, flyback paths, dissipation estimates, and layered fault isolation.",Creates a reusable switching pattern for actuators and embedded interfaces.,Intermediate
9,Rail-by-rail bring-up and supply troubleshooting,"Power-supply, regulation, ripple, grounding, and load concepts.","Use Week 1 current-limited first power, Week 2 expected nodes, and Week 3 question-first measurement.","Rail-by-rail bring-up, current signature interpretation, regulator checks, staged load connection, and supply-fault isolation.",Directly supports MCU board bring-up and project first power.,Intermediate
10,Measure and troubleshoot a signal chain,"Amplifiers, signal conditioning, gain, bandwidth, loading, and clipping concepts.",Use Week 3 scope discipline and CETa amplifier/signal-chain models.,"Signal-path block reasoning, expected gain/offset/bandwidth, test-point planning, and stage-by-stage isolation.",Prepares mixed-signal and sensor-path diagnosis.,Intermediate
11,"Real logic levels, pull resistors, debounce, and measurement","Digital logic levels, Boolean/state concepts, pull resistors, timing, and debounce.",Use the CETa digital logic model plus Week 3 measurement planning. No MCU register knowledge is assumed yet.,"Real logic thresholds, pull-up/pull-down behavior, switch bounce, scope/logic-analyzer evidence, and bit-mask preview only where CETa has prepared the binary model.","Prepares MCU GPIO, registers, interrupts, and serial-bus analysis.",Intermediate
12,Make physical changes traceable with Git and lab records,Soldering/rework/workmanship and physical interconnection concepts.,Use CETa workmanship/safety plus the established evidence rule. No version-control knowledge is assumed.,"Physical-change traceability plus Git from zero: repository, working tree, status, diff, commit, history, branch/tag, and known-good baseline.","Git becomes infrastructure for C, STM32, projects, test scripts, and portfolio evidence after this week.",Intermediate
13,Troubleshoot with competing hypotheses and high-information tests,"Schematics, components, datasheets, signal flow, and prior troubleshooting evidence.","Use the established troubleshooting loop, schematic/datasheet literacy, and Git/lab-record baseline.","Competing hypotheses, discriminating tests, divide-and-conquer strategy, root-cause verification, and concise failure reporting.","This reasoning model becomes the debugging backbone for C, MCU, buses, and projects.",Intermediate
14,Write and debug small C programs methodically,"Binary/hex, logic, computer/processor concepts, and the idea that source code is translated into executable machine instructions.",No C programming is assumed. Use only CETa binary/computer fundamentals and Week 12 project-file/Git habits.,"A real C foundation: source/build model, variables/types, expressions, conditionals, loops, functions, arrays/strings/structs/enums, addresses/pointers, bitwise operations, warnings, and debugging.",Provides the programming prerequisites for embedded state/timing and STM32 work.,Intermediate
15,"Responsive embedded architecture, volatile, and timing choices","Microprocessor architecture, registers, ports, binary/bit logic, clocks, and timing concepts.","Week 14 C must be usable before this lesson. Bring forward functions, types, arrays/pointers, bitwise masks, and debugging.","MCU mental model, memory-mapped registers, read/modify/write, polling, blocking vs nonblocking, state machines, interrupts/ISR, shared state, volatile, and timing units.","Direct prerequisite for STM32 configuration, SWD debugging, GPIO, timers, and interfaces.",Intermediate
16,"Create, flash, verify, and document a minimum STM32 bring-up","MCU architecture, GPIO/register concepts, clocks, and interface fundamentals available so far.","Use Week 14 C and Week 15 embedded architecture. No prior STM32 IDE, build, flash, or SWD experience is assumed.","STM32 board/MCU identity, project/configuration, toolchain/build, output image, ST-LINK/debug probe, flash/reset/run, SWD, breakpoint, registers, GPIO proof, and fault layers.","Creates a known-good MCU baseline for host serial, I2C/SPI, sensors, and Project 1.",Intermediate
17,Build a robust Python serial client and evidence log,UART framing/levels and serial communication theory.,"Use CETa UART theory, Week 14 programming ideas, and Week 16 known-good MCU baseline. No Python knowledge is assumed.","Python from zero for test work, bytes versus text, modules/exceptions/files, pySerial configuration/read/write, message boundaries, parsing/validation, and evidence logging.",Python becomes the host/test foundation for later automated hardware validation.,Intermediate
18,Datasheet-to-wire integration and bus fault isolation,UART/I2C/SPI electrical and protocol models plus MCU peripheral concepts.,"Use Week 16 STM32 bring-up, Week 17 host-side serial thinking, and CETa bus fundamentals. The learner should already understand what a register, pin, wire reference, and transaction are.","One-interface-at-a-time datasheet-to-wire integration, transaction contracts, pull-ups/chip select, logic-analyzer setup, decoded evidence, and layered bus fault isolation.",Supports Project 1 peripheral integration and automated interface verification.,Intermediate
19,"Terminate, inspect, continuity-test, and isolate a connection fault","Cabling, connectors, transmission media, continuity, and workmanship concepts.",Use CETa cable/media theory plus Week 3 measurement discipline and Week 12 workmanship evidence.,"Termination inspection, pin numbering/keying, strain relief, continuity/segment isolation, and serviceable harness documentation.",Prepares reliable project interconnects and employer-facing workmanship evidence.,Intermediate
20,"Measurement procedure, spectrum interpretation, and technical handoff","RF/telecom fundamentals: frequency, spectra, modulation, transmission lines, and technician procedures.",Use CETa RF/telecom concepts plus Week 3 measurement planning. No spectrum-analyzer workflow is assumed.,"Spectrum-analyzer controls/settings, marker interpretation, measurement procedure writing, observation-versus-interpretation, and technical escalation/handoff.",Strengthens professional test procedure and handoff skills used in project validation.,Intermediate
