Week,Universal Required,Conditional,Study,Engineering Library,Removed,Classroom Total,Result
1,3,0,14,11,0,3,PASS
2,0,0,12,3,0,0,PASS
3,1,0,5,9,2,1,PASS
4,0,0,11,0,2,0,PASS
5,0,0,7,1,0,0,PASS
6,0,1,6,0,0,1,PASS
7,2,0,16,1,10,2,PASS
8,0,0,14,2,0,0,PASS
9,0,0,5,5,2,0,PASS
10,0,0,9,2,1,0,PASS
11,1,0,12,1,2,1,PASS
12,1,2,3,6,0,3,PASS
13,0,0,6,2,0,0,PASS
14,0,0,5,5,0,0,PASS
15,0,0,6,0,1,0,PASS
16,2,0,1,2,0,2,PASS
17,1,0,9,2,0,1,PASS
18,1,1,9,5,0,2,PASS
19,0,1,9,4,1,1,PASS
20,1,0,6,5,0,1,PASS
21,1,0,4,0,1,1,PASS
22,2,0,8,1,1,2,PASS
23,1,0,6,2,0,1,PASS
24,0,0,4,1,0,0,PASS
25,0,1,7,4,0,1,PASS
26,0,1,6,2,0,1,PASS
27,0,0,6,3,0,0,PASS
28,0,0,11,3,0,0,PASS
29,0,0,6,3,0,0,PASS
30,1,0,7,0,1,1,PASS
31,2,0,5,0,0,2,PASS
