Source ID,New in Part 2,Title,Author,Organization / Publisher,Source Type,URL,Access,Verification Date,Verification Result,Authority / Pedagogy Rationale,Course Uses
flukeSafety,NO — pre-existing source,Electrical Measurement Safety,Fluke,Fluke,Existing Professional / Reference Reading,Preserved in existing canonical source registry; Part 2 does not duplicate or rewrite URL metadata,Existing verified access state preserved,2026-09-21,PASS — current authoritative/public source verified or existing accepted canonical source preserved,Previously accepted AU-ESET 301 source reused because it already provides a strong written professional/reference function.,"W01 Career — Voltage, resistance, and current modes are different circuits"
flukeMultimeterGuide,NO — pre-existing source,How to Use a Multimeter — Comprehensive Guide,Fluke,Fluke,Existing Professional / Reference Reading,Preserved in existing canonical source registry; Part 2 does not duplicate or rewrite URL metadata,Existing verified access state preserved,2026-09-21,PASS — current authoritative/public source verified or existing accepted canonical source preserved,Previously accepted AU-ESET 301 source reused because it already provides a strong written professional/reference function.,"W01 Career — Voltage, resistance, and current modes are different circuits; W03 CETa — The DMM is several instruments sharing one display; W09 Career — Use rail behavior to distinguish source, regulator, and load faults; W24 Career — Unpowered checks find cheap faults"
nasaESD,NO — pre-existing source,NASA-HDBK-8739.21 — ESD Control,NASA,NASA,Existing Professional / Reference Reading,Preserved in existing canonical source registry; Part 2 does not duplicate or rewrite URL metadata,Existing verified access state preserved,2026-09-21,PASS — current authoritative/public source verified or existing accepted canonical source preserved,Previously accepted AU-ESET 301 source reused because it already provides a strong written professional/reference function.,"W01 CETa — ESD, technician tool hazards, and PPE; W12 CETa — ESD control is specific to the work state"
aacMeterLoading,NO — pre-existing source,Voltmeter Impact on a Measured Circuit,All About Circuits,All About Circuits,Existing Professional / Reference Reading,Preserved in existing canonical source registry; Part 2 does not duplicate or rewrite URL metadata,Existing verified access state preserved,2026-09-21,PASS — current authoritative/public source verified or existing accepted canonical source preserved,Previously accepted AU-ESET 301 source reused because it already provides a strong written professional/reference function.,W02 CETa — Loaded dividers reveal why measuring changes circuits
tekScopeSetup,NO — pre-existing source,How to Use an Oscilloscope and Probe — Step-by-Step Tutorial,Tektronix,Tektronix,Existing Professional / Reference Reading,Preserved in existing canonical source registry; Part 2 does not duplicate or rewrite URL metadata,Existing verified access state preserved,2026-09-21,PASS — current authoritative/public source verified or existing accepted canonical source preserved,Previously accepted AU-ESET 301 source reused because it already provides a strong written professional/reference function.,"W03 Career — Reference, grounding, loading, and bandwidth can change the result; W29 CETa — Measurement setup is part of workmanship verification"
keysightElectronicLoadBasics,NO — pre-existing source,Electronic Load Fundamentals,Keysight Technologies,Keysight Technologies,Existing Professional / Reference Reading,Preserved in existing canonical source registry; Part 2 does not duplicate or rewrite URL metadata,Existing verified access state preserved,2026-09-21,PASS — current authoritative/public source verified or existing accepted canonical source preserved,Previously accepted AU-ESET 301 source reused because it already provides a strong written professional/reference function.,W03 CETa — A bench supply has two interacting limits
mitLabs,NO — pre-existing source,6.002 Laboratory Materials,MIT OpenCourseWare,MIT OpenCourseWare,Existing Professional / Reference Reading,Preserved in existing canonical source registry; Part 2 does not duplicate or rewrite URL metadata,Existing verified access state preserved,2026-09-21,PASS — current authoritative/public source verified or existing accepted canonical source preserved,Previously accepted AU-ESET 301 source reused because it already provides a strong written professional/reference function.,W05 Career — Verification is more than seeing the output once
aacResonantFilters,NO — pre-existing source,Resonant Filters,All About Circuits,All About Circuits,Existing Professional / Reference Reading,Preserved in existing canonical source registry; Part 2 does not duplicate or rewrite URL metadata,Existing verified access state preserved,2026-09-21,PASS — current authoritative/public source verified or existing accepted canonical source preserved,Previously accepted AU-ESET 301 source reused because it already provides a strong written professional/reference function.,W06 CETa — Resonance and transformation are controlled relationships
tiSwitchingRegulatorFundamentals,NO — pre-existing source,Switching Regulator Fundamentals,Texas Instruments,Texas Instruments,Existing Professional / Reference Reading,Preserved in existing canonical source registry; Part 2 does not duplicate or rewrite URL metadata,Existing verified access state preserved,2026-09-21,PASS — current authoritative/public source verified or existing accepted canonical source preserved,Previously accepted AU-ESET 301 source reused because it already provides a strong written professional/reference function.,W09 CETa — Switch-mode power supply operation
aacLogicLevels,NO — pre-existing source,Logic Signal Voltage Levels,All About Circuits,All About Circuits,Existing Professional / Reference Reading,Preserved in existing canonical source registry; Part 2 does not duplicate or rewrite URL metadata,Existing verified access state preserved,2026-09-21,PASS — current authoritative/public source verified or existing accepted canonical source preserved,Previously accepted AU-ESET 301 source reused because it already provides a strong written professional/reference function.,"W11 Career — A logical 1 is a voltage range, not the word “high”"
saleaeDigitalSignals,NO — pre-existing source,STM32 Nucleo Board — Digital Signals,Saleae,Saleae,Existing Professional / Reference Reading,Preserved in existing canonical source registry; Part 2 does not duplicate or rewrite URL metadata,Existing verified access state preserved,2026-09-21,PASS — current authoritative/public source verified or existing accepted canonical source preserved,Previously accepted AU-ESET 301 source reused because it already provides a strong written professional/reference function.,"W11 Career — Debounce is a time-domain problem; W15 Career — Career integration: embedded C, MCU architecture, and nonblocking design"
adafruitSolderProblems,NO — pre-existing source,Adafruit Guide to Excellent Soldering — Common Soldering Problems,Adafruit Learning System,Adafruit Learning System,Existing Professional / Reference Reading,Preserved in existing canonical source registry; Part 2 does not duplicate or rewrite URL metadata,Existing verified access state preserved,2026-09-21,PASS — current authoritative/public source verified or existing accepted canonical source preserved,Previously accepted AU-ESET 301 source reused because it already provides a strong written professional/reference function.,"W12 CETa — Heat shunts, cold joints, and good mechanical/electrical connections; W29 CETa — Workmanship criteria are observable, not aesthetic preference"
