Node ID,Concept / Competency,Track Owner,Node Type,Prerequisite Node(s),Prerequisite Detail,First Taught / Activated Week,Application Track / Week,Later Deepening / Reuse,Mastery Week / Task,Source Basis,Notes
CETA-W01,"Voltage, current, resistance, power, polarity, reference, open/short circuit, and Week 1 safety boundaries.",CETa,Official-CETa activation summary,,"Official CETa codes active this week: 1.1, 1.4, 1.5, 1.7, 1.13, 2.1, 2.4, 2.6, 2.13, 2.13.1, 2.14, 8.3, 9.1, 9.2, 9.3, 9.8, 9.9, 1.2, 1.3, 1.10.1, 1.10.3, 1.11, 1.12, 1.14",1,Career Week 1 activation where relevant,"Creates the bench habits required for every later measurement, bring-up, troubleshooting, and lab task.",Week 1 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W02,"Series/parallel networks, KVL/KCL, dividers, expected node values, and reference-node reasoning.",CETa,Official-CETa activation summary,CETA-W01,"Official CETa codes active this week: 2.6, 2.7, 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.11, 9.1, 9.3, 2.2.1, 2.2.2, 2.5.1, 2.12.1, 2.12.2, 4.8, 4.9, 4.10, 4.12, 4.13, 4.14, 4.15, 4.16, 4.17",2,Career Week 2 activation where relevant,Prepares the learner to choose instruments and high-information measurements rather than probe randomly.,Week 2 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W03,"DMM/scope connection rules, waveform quantities, measurement units, and safe references.",CETa,Official-CETa activation summary,CETA-W02,"Official CETa codes active this week: 1.1, 1.5, 8.1, 8.2, 8.3, 8.4, 8.5, 8.6, 8.7, 8.8, 8.12, 8.13, 8.14, 8.10, 8.11, 8.12.1, 8.15, 8.16",3,Career Week 3 activation where relevant,"Becomes the common measurement workflow for filters, semiconductors, MCU bring-up, RF work, and later digital-bus analysis; logic-analyzer configuration is first taught in Week 18.",Week 3 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W04,"Capacitance, RC time behavior, frequency response, and filter fundamentals.",CETa,Official-CETa activation summary,CETA-W03,"Official CETa codes active this week: 2.8, 2.9, 2.10, 2.13, 3.2, 3.3, 9.1, 9.3, 9.4, 9.6, 9.8.1",4,Career Week 4 activation where relevant,Builds the habit of predicting waveform shape before using a scope for diagnosis.,Week 4 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W05,Cumulative DC/AC/component fundamentals needed for the first troubleshooting gate.,CETa,Official-CETa activation summary,CETA-W04,"Official CETa codes active this week: 1.1, 1.4, 2.6, 2.8, 2.9, 4.1, 4.2, 4.3, 8.3, 8.6, 8.13, 9.1, 9.3, 9.4",5,Career Week 5 activation where relevant,Establishes the troubleshooting model reused through the rest of the course.,Week 5 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W06,RLC/resonance/filter response and frequency-domain relationships.,CETa,Official-CETa activation summary,CETA-W05,"Official CETa codes active this week: 2.8, 2.9, 2.10, 2.11, 2.12, 3.2, 3.3, 3.4, 4.7, 4.11, 9.4, 9.6",6,Career Week 6 activation where relevant,Prepares for transistor/op-amp signal chains and later spectrum work.,Week 6 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W07,"Diodes, rectification, inductance, switching devices, and protection concepts.",CETa,Official-CETa activation summary,CETA-W06,"Official CETa codes active this week: 2.2, 2.3, 2.5, 2.7, 2.8, 2.9, 3.1, 3.2, 3.3, 3.4, 3.5, 3.1.1, 3.1.2, 3.1.3, 3.1.4, 3.2.1, 3.2.2, 3.3.1, 3.4.1, 3.4.2, 3.8, 3.9, 3.9.1, 3.9.2, 3.9.3",7,Career Week 7 activation where relevant,Prepares protected transistor/MOSFET switching and regulator bring-up.,Week 7 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W08,"Transistor/MOSFET switching behavior, protection, power dissipation, and bias/control ideas.",CETa,Official-CETa activation summary,CETA-W07,"Official CETa codes active this week: 3.5, 3.5.1, 3.5.2, 3.5.3, 3.6, 3.6.1, 3.6.2, 3.7, 3.7.1, 3.7.2, 3.7.3",8,Career Week 8 activation where relevant,Creates a reusable switching pattern for actuators and embedded interfaces.,Week 8 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W09,"Power-supply, regulation, ripple, grounding, and load concepts.",CETa,Official-CETa activation summary,CETA-W08,"Official CETa codes active this week: 3.7, 3.7.1, 3.7.3, 10.1, 10.2, 10.3, 10.4, 10.5, 10.6, 10.7, 10.8, 10.9, 10.10, 10.3.1, 10.4.1, 10.4.2, 10.4.3, 10.11",9,Career Week 9 activation where relevant,Directly supports MCU board bring-up and project first power.,Week 9 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W10,"Amplifiers, signal conditioning, gain, bandwidth, loading, and clipping concepts.",CETa,Official-CETa activation summary,CETA-W09,"Official CETa codes active this week: 9.4, 9.6, 11.1, 11.2, 11.3, 11.4, 11.5, 11.6, 11.7, 11.8, 11.9, 17.1, 17.2, 11.3.1, 11.3.2, 11.6.1, 11.8.1",10,Career Week 10 activation where relevant,Prepares mixed-signal and sensor-path diagnosis.,Week 10 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
