Assignment Week,Source ID,Canonical Source ID,Title,Provider,Resource Type,Original Role,Disposition,Primary Instructional Location,Relationship,Requirement,Inline,Exact Backlink,Additional Course Locations,After Resource Action,Reason
1,aacCurrentPath,aacCurrentPath,Basic Requirements for Current,North Seattle Community College / All About Circuits,College video lecture with transcript,Required · Teaching lecture,RETAINED + INTEGRATED,Week 01 → CETa Lesson → A circuit needs a closed path,Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-4&from=media&media=aacCurrentPath,,"After watching, be able to explain or demonstrate: Predict current before calculation and explain why an open path produces zero current.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,aacElectricalA,aacElectricalA,"Electrical Quantities A — Voltage, Current, Resistance, and Charge",North Seattle Community College / All About Circuits,College video lecture with transcript,Required · Teaching lecture,RETAINED + INTEGRATED,Week 01 → CETa Lesson → Put the model together: predict before you measure,Review of,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-11&from=media&media=aacElectricalA,,"After watching, be able to explain or demonstrate: Explain each quantity, its unit, and whether it is measured across or through a circuit element.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,aacElectricalB,aacElectricalB,Electrical Quantities B — Ohm’s Law and Electrical Power,North Seattle Community College / All About Circuits,College video lecture with transcript,Required · Teaching lecture,RETAINED + INTEGRATED,Week 01 → CETa Lesson → Power: how quickly electrical energy is transferred,Used in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-10&from=media&media=aacElectricalB,,"After watching, be able to explain or demonstrate: Predict direct/inverse relationships before calculating; rearrange V=IR and verify P=VI, I²R and V²/R with units.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,aacGroundReference,aacGroundReference,Ground and Other Reference Points,North Seattle Community College / All About Circuits,College video lecture with transcript,Required · Teaching lecture,RETAINED + INTEGRATED,Week 01 → Career Lesson → Pre-power inspection creates the first known-good state,Taught in,required,YES,learn.html?week=1&stage=career-lesson&lesson=1&section=career-w01-pre-power-inspection-creates-the-first-known-good-state&from=media&media=aacGroundReference,,"After watching, be able to explain or demonstrate: Predict positive/negative meter readings from probe order and chosen reference.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,aacTechnicalNotation,aacTechnicalNotation,Technical Notation — Engineering Notation and SI Prefixes,North Seattle Community College / All About Circuits,College video lecture with transcript,Required · Teaching lecture,RETAINED + INTEGRATED,Week 01 → CETa Lesson → SI prefixes are multipliers attached to units,Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-6&from=media&media=aacTechnicalNotation,,"After watching, be able to explain or demonstrate: Convert base units ↔ milli/micro/nano/pico/kilo/mega/giga without losing powers of ten.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,afrotechmodsMultimeter,afrotechmodsMultimeter,THE BEST Multimeter tutorial (HD),Afrotechmods,Beginner YouTube multimeter demonstration,BENCH BRIDGE · Multimeter fundamentals,RETAINED + INTEGRATED,"Week 01 → Career Lesson → Voltage, resistance, and current modes are different circuits",Demonstrated in,supporting,YES,learn.html?week=1&stage=career-lesson&lesson=1&section=career-w01-voltage-resistance-and-current-modes-are-different-circuits&from=media&media=afrotechmodsMultimeter,,"After watching, be able to explain or demonstrate: Notice mode/range selection, probe jacks, voltage measured across two points, current measured through a circuit path, de-energized resistance/continuity checks, and the consequences of using the current jack incorrectly.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,afrotechmodsPowerWatts,afrotechmodsPowerWatts,Basic Electricity - Power and watts,Afrotechmods,Beginner YouTube electronics tutorial with practical measurement demo,CLARITY · Electrical power and watts,RETAINED + INTEGRATED,Week 01 → CETa Lesson → Power: how quickly electrical energy is transferred,Demonstrated in,supporting,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-10&from=media&media=afrotechmodsPowerWatts,,"After watching, be able to explain or demonstrate: Connect power to the rate of energy transfer, relate P = VI to measured voltage/current, and notice how a resistor can be electrically correct in ohms yet undersized in watts.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,afrotechmodsResistanceOhmsLaw,afrotechmodsResistanceOhmsLaw,Basic Electricity - Resistance and Ohm's law,Afrotechmods,Beginner YouTube electronics tutorial with practical circuit demo,CLARITY · Resistance and Ohm's law,RETAINED + INTEGRATED,Week 01 → CETa Lesson → Resistance: why the same voltage does not produce the same current everywhere,Demonstrated in,supporting,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-5&from=media&media=afrotechmodsResistanceOhmsLaw,,"After watching, be able to explain or demonstrate: Predict direction first: at fixed voltage, more resistance means less current. Then connect that physical relationship to V = IR instead of treating the formula as isolated memorization.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,afrotechmodsWhatIsAmp,afrotechmodsWhatIsAmp,Basic Electricity - What is an amp?,Afrotechmods,Beginner YouTube electronics tutorial,CLARITY · Current and amperes,RETAINED + INTEGRATED,Week 01 → CETa Lesson → Current: charge moving through a path over time,Used in,supporting,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-2&from=media&media=afrotechmodsWhatIsAmp,,"After watching, be able to explain or demonstrate: Connect amperes to rate of charge flow, keep conventional-current language separate from electron motion, and say current goes through a path rather than across it.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,afrotechmodsWhatIsVoltage,afrotechmodsWhatIsVoltage,Basic Electricity - What is voltage?,Afrotechmods,Beginner YouTube electronics tutorial,CLARITY · Voltage,RETAINED + INTEGRATED,Week 01 → CETa Lesson → Voltage: an energy difference between two points,Used in,supporting,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-3&from=media&media=afrotechmodsWhatIsVoltage,,"After watching, be able to explain or demonstrate: Connect volts to energy per charge, distinguish voltage from current, and notice that voltage is always a difference between two points even when a reference node is implied.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,flukeMultimeterGuide,flukeMultimeterGuide,How to Use a Multimeter — Comprehensive Guide,Fluke,Manufacturer measurement guide,Required · DMM pre-power verification,RETAINED + INTEGRATED,"Week 01 → Career Lesson → Voltage, resistance, and current modes are different circuits",Taught in,required,YES,learn.html?week=1&stage=career-lesson&lesson=1&section=career-w01-voltage-resistance-and-current-modes-are-different-circuits&from=media&media=flukeMultimeterGuide,"Taught in: Week 03 → CETa Lesson → The DMM is several instruments sharing one display [learn.html?week=3&stage=ceta-lesson&lesson=0&section=concept-1&from=media&media=flukeMultimeterGuide] | Taught in: Week 09 → Career Lesson → Use rail behavior to distinguish source, regulator, and load faults [learn.html?week=9&stage=career-lesson&lesson=1&section=career-w09-use-rail-behavior-to-distinguish-source-regulator-and-load-faults&from=media&media=flukeMultimeterGuide] | Taught in: Week 24 → Career Lesson → Unpowered checks find cheap faults [learn.html?week=24&stage=career-lesson&lesson=1&section=career-w24-unpowered-checks-find-cheap-faults&from=media&media=flukeMultimeterGuide] | Taught in: Week 29 → CETa Lesson → Measurement setup is part of workmanship verification [learn.html?week=29&stage=ceta-lesson&lesson=0&section=concept-5&from=media&media=flukeMultimeterGuide]","After using this reference, be able to locate, explain, or apply: Confirm the current lead is not left in the amperage jack and do not make resistance/continuity measurements on an energized circuit.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,flukeSafety,flukeSafety,Electrical Measurement Safety,Fluke,Manufacturer training,Required · Safety instruction,RETAINED + INTEGRATED,"Week 01 → Career Lesson → Voltage, resistance, and current modes are different circuits",Taught in,required,YES,learn.html?week=1&stage=career-lesson&lesson=1&section=career-w01-voltage-resistance-and-current-modes-are-different-circuits&from=media&media=flukeSafety,,"After using this resource, be able to explain or apply: Separate shock/arc/tool-rating/PPE/lead-condition hazards and know stop/de-energize conditions.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,keysightBenchPowerCourse,keysightBenchPowerCourse,Bench Power Supply Basics,Keysight Technologies,Manufacturer video course,Required · Pre-power bench-supply procedure,RETAINED + INTEGRATED,Week 01 → Career Lesson → Current limiting is a protective boundary and a diagnostic clue,Lab preparation for,required,YES,learn.html?week=1&stage=career-lesson&lesson=1&section=career-w01-current-limiting-is-a-protective-boundary-and-a-diagnostic-clue&from=media&media=keysightBenchPowerCourse,Demonstrated in: Week 03 → CETa Lesson → A bench supply has two interacting limits [learn.html?week=3&stage=ceta-lesson&lesson=0&section=concept-2&from=media&media=keysightBenchPowerCourse] | Lab preparation for: Week 23 → Career Lesson → Plan first power as a test case [learn.html?week=23&stage=career-lesson&lesson=1&section=career-w23-plan-first-power-as-a-test-case&from=media&media=keysightBenchPowerCourse],"After watching, be able to explain or demonstrate: Predict expected current first; unexpected CC mode or current rise is a stop-and-investigate condition.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,mathScienceVoltageCurrentResistance,mathScienceVoltageCurrentResistance,"Lesson 1 - Voltage, Current, Resistance (Engineering Circuit Analysis)",Math and Science (Jason Gibson),Beginner YouTube engineering lecture,START HERE · Beginner concept bridge,RETAINED + INTEGRATED,Week 01 → CETa Lesson → Start with charge: what electricity is actually moving,Taught in,supporting,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-1&from=media&media=mathScienceVoltageCurrentResistance,,"After watching, be able to explain or demonstrate: Listen for the everyday physical analogies, the closed-loop requirement, the difference between voltage/current/resistance, and the move from amps to smaller metric-prefixed current units.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
