Week,Difficulty,Career lesson,CETa foundation,Career prerequisites,New Career learning,Genuine overlap,Future preparation,Source relationship,Source IDs,Source basis,Source URLs
1,Foundation,"Safe bench setup, prediction, and measurement","Voltage, current, resistance, power, polarity, reference, open/short circuit, and Week 1 safety boundaries.",Use only the Week 1 CETa electrical-quantity and safety foundation. No prior bench-equipment experience is assumed.,"Bench power supply, DMM modes/jacks, current limiting, pre-power inspection, first-power sequence, stop conditions, and hazard logging.",CETa explains the electrical quantities; Career turns them into a controlled first-power and measurement workflow.,"Creates the bench habits required for every later measurement, bring-up, troubleshooting, and lab task.",Informed by / cross-checked against,gptcElectronics | pccEET101A | flukeDMM | flukeSafety | nasaESD,Georgia Piedmont Technical College — Electronics Technology — current catalog; Portland Community College — EET 101A — Electronic Lab and Essential Work Skills; Fluke — Digital Multimeter Basics; Fluke — Electrical Measurement Safety; NASA — NASA-HDBK-8739.21 — ESD Control,https://www.gptc.edu/college-catalog/current/programs/electronics-technology | https://www.pcc.edu/ccog/eet/101a/ | https://www.fluke.com/en-us/learn/online-courses/digital-multimeter-basics-online-course | https://www.fluke.com/en-us/learn/online-courses/electrical-measurement-safety | https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921
2,Foundation,Use expected node values to troubleshoot instead of guessing,"Series/parallel networks, KVL/KCL, dividers, expected node values, and reference-node reasoning.",Bring forward Week 1 safe measurement habits plus the Week 2 CETa network equations and expected-node reasoning.,"Expected-versus-actual troubleshooting, node tables, first hypotheses, divide-and-conquer test-point selection, and one-change-at-a-time discipline.",Career uses the exact CETa node-voltage/current predictions as the known-good baseline for troubleshooting.,Prepares the learner to choose instruments and high-information measurements rather than probe randomly.,Informed by / cross-checked against,gptcElectronics | pccEET101B | onetTech,Georgia Piedmont Technical College — Electronics Technology — current catalog; Portland Community College — EET 101B — Electronic Equipment and Lab Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.gptc.edu/college-catalog/current/programs/electronics-technology | https://www.pcc.edu/ccog/eet/101b/ | https://www.onetonline.org/link/summary/17-3023.00
3,Foundation,"Measurement planning, probe discipline, and uncertainty","DMM/scope connection rules, waveform quantities, measurement units, and safe references.",Use Week 1 bench safety and the CETa measurement concepts already taught. No professional measurement-planning experience is assumed.,"Question-first instrument selection, DMM/bench-supply/scope onboarding, probe/reference discipline, loading/accuracy/resolution, reproducible evidence, and logic-analyzer boundaries.",CETa supplies what electrical quantities and waveforms mean; Career teaches how a technician chooses and configures the instrument that can answer a specific question.,"Becomes the common measurement workflow for filters, semiconductors, digital buses, MCU bring-up, RF work, and automated test.",Informed by / cross-checked against,pccEET101A | pccEET101B | flukeDMM | tekScope | onetTech,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills; Portland Community College — EET 101B — Electronic Equipment and Lab Skills; Fluke — Digital Multimeter Basics; Tektronix — The XYZs of Oscilloscopes; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.pcc.edu/ccog/eet/101a/ | https://www.pcc.edu/ccog/eet/101b/ | https://www.fluke.com/en-us/learn/online-courses/digital-multimeter-basics-online-course | https://www.tek.com/en/documents/primer/xyzs-oscilloscopes-primer | https://www.onetonline.org/link/summary/17-3023.00
4,Foundation,Turn time-domain measurements into filter and fault evidence,"Capacitance, RC time behavior, frequency response, and filter fundamentals.","Use the Week 3 measurement workflow plus CETa RC/filter behavior. The learner should already know amplitude, period, frequency, and time constant.","Turn time-domain observations into evidence about cutoff, charging/discharging, distortion, and fault location.",Career measures the same RC/filter behavior CETa explains mathematically and physically.,Builds the habit of predicting waveform shape before using a scope for diagnosis.,Informed by / cross-checked against,gptcElectronics | pccEET101B | tekScope,Georgia Piedmont Technical College — Electronics Technology — current catalog; Portland Community College — EET 101B — Electronic Equipment and Lab Skills; Tektronix — The XYZs of Oscilloscopes,https://www.gptc.edu/college-catalog/current/programs/electronics-technology | https://www.pcc.edu/ccog/eet/101b/ | https://www.tek.com/en/documents/primer/xyzs-oscilloscopes-primer
5,Foundation,A complete troubleshooting loop under a practical gate,Cumulative DC/AC/component fundamentals needed for the first troubleshooting gate.,"Use Weeks 1–4 safety, expected-value, and instrument-selection habits. No new tool should appear without explanation.",A complete reproduce → predict → measure → isolate → repair → verify troubleshooting loop under a practical gate.,CETa supplies component/circuit behavior; Career organizes that knowledge into a repeatable diagnostic process.,Establishes the troubleshooting model reused through the rest of the course.,Informed by / cross-checked against,pccEET101B | onetTech | nasaSystems,Portland Community College — EET 101B — Electronic Equipment and Lab Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; NASA — NASA Systems Engineering Handbook,https://www.pcc.edu/ccog/eet/101b/ | https://www.onetonline.org/link/summary/17-3023.00 | https://www.nasa.gov/reference/systems-engineering-handbook/
6,Foundation,Characterize a filter or resonant network like a technician,RLC/resonance/filter response and frequency-domain relationships.,Bring forward Week 3 measurement planning and Week 4 waveform/filter evidence.,"Characterization tables, sweep planning, resonant/filter comparison, tolerance reasoning, and technician reporting.",Career converts CETa frequency-response theory into measured characterization.,Prepares for transistor/op-amp signal chains and later spectrum work.,Informed by / cross-checked against,gptcElectronics | tekScope | tiPrecision,Georgia Piedmont Technical College — Electronics Technology — current catalog; Tektronix — The XYZs of Oscilloscopes; Texas Instruments — TI Precision Labs,https://www.gptc.edu/college-catalog/current/programs/electronics-technology | https://www.tek.com/en/documents/primer/xyzs-oscilloscopes-primer | https://www.ti.com/video/series/precision-labs.html
7,Intermediate,Read a datasheet and design a relay/inductive-load interface,"Diodes, rectification, inductance, switching devices, and protection concepts.",Use CETa device behavior plus prior pre-power and measurement discipline. Datasheet reading is introduced explicitly before design use.,"Datasheet pin/rating extraction, relay/inductive-load interface planning, flyback protection, and evidence-based component selection.",CETa teaches device physics/behavior; Career uses datasheets to turn that behavior into a safe interface.,Prepares protected transistor/MOSFET switching and regulator bring-up.,Informed by / cross-checked against,gptcElectronics | tiPrecision | onetTech,Georgia Piedmont Technical College — Electronics Technology — current catalog; Texas Instruments — TI Precision Labs; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.gptc.edu/college-catalog/current/programs/electronics-technology | https://www.ti.com/video/series/precision-labs.html | https://www.onetonline.org/link/summary/17-3023.00
8,Intermediate,Design and diagnose a protected low-side switch,"Transistor/MOSFET switching behavior, protection, power dissipation, and bias/control ideas.",Use Week 7 datasheet and inductive-load discipline plus CETa transistor/MOSFET fundamentals.,"Protected low-side switching, gate/base drive checks, flyback paths, dissipation estimates, and layered fault isolation.",Career applies CETa semiconductor behavior to a practical driver circuit.,Creates a reusable switching pattern for actuators and embedded interfaces.,Informed by / cross-checked against,gptcElectronics | tiPrecision | adiLinear,Georgia Piedmont Technical College — Electronics Technology — current catalog; Texas Instruments — TI Precision Labs; Analog Devices — Basic Linear Design,https://www.gptc.edu/college-catalog/current/programs/electronics-technology | https://www.ti.com/video/series/precision-labs.html | https://www.analog.com/media/en/training-seminars/design-handbooks/Basic-Linear-Design/LinearDesign_Cover.pdf
9,Intermediate,Rail-by-rail bring-up and supply troubleshooting,"Power-supply, regulation, ripple, grounding, and load concepts.","Use Week 1 current-limited first power, Week 2 expected nodes, and Week 3 question-first measurement.","Rail-by-rail bring-up, current signature interpretation, regulator checks, staged load connection, and supply-fault isolation.",Career turns CETa power-supply theory into a staged bring-up sequence.,Directly supports MCU board bring-up and project first power.,Informed by / cross-checked against,gptcElectronics | flukeDMM | onetTech,Georgia Piedmont Technical College — Electronics Technology — current catalog; Fluke — Digital Multimeter Basics; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.gptc.edu/college-catalog/current/programs/electronics-technology | https://www.fluke.com/en-us/learn/online-courses/digital-multimeter-basics-online-course | https://www.onetonline.org/link/summary/17-3023.00
10,Intermediate,Measure and troubleshoot a signal chain,"Amplifiers, signal conditioning, gain, bandwidth, loading, and clipping concepts.",Use Week 3 scope discipline and CETa amplifier/signal-chain models.,"Signal-path block reasoning, expected gain/offset/bandwidth, test-point planning, and stage-by-stage isolation.","Career measures the same gain, bias, and bandwidth relationships CETa explains.",Prepares mixed-signal and sensor-path diagnosis.,Informed by / cross-checked against,gptcElectronics | tiOpAmp | adiOpAmp,Georgia Piedmont Technical College — Electronics Technology — current catalog; Texas Instruments — TI Precision Labs — Op Amps; Analog Devices — Learn the Fundamentals of Op Amps,https://www.gptc.edu/college-catalog/current/programs/electronics-technology | https://www.ti.com/video/series/precision-labs/ti-precision-labs-op-amps.html | https://www.analog.com/en/resources/media-center/videos/6313213708112.html
