ID,Previous standard,Final standard,Status,Source relationship,Primary source ID,Primary source,Primary source URL,Secondary source IDs,Secondary sources,Secondary source URLs,Why relevant,Alfred adaptation,First curriculum use,Primary semantic/mastery week,Evidence route
C1.1,"Prepare a low-voltage electronics bench using current limits, safe power-up sequencing, and an explicit stop condition.","Prepare a low-voltage electronics bench using current limits, safe power-up sequencing, and an explicit stop condition.",KEEP,Informed by,pccEET101A,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,gptcElectronics | flukeSafety | nasaESD,Georgia Piedmont Technical College — Electronics Technology — current catalog | Fluke — Electrical Measurement Safety | NASA — NASA-HDBK-8739.21 — ESD Control,https://www.gptc.edu/college-catalog/current/programs/electronics-technology | https://www.fluke.com/en-us/learn/online-courses/electrical-measurement-safety | https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,1,1,Required semantic task SEM-C1-01-075; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.
C1.2,"Apply ESD controls appropriate to CMOS/semiconductor handling and explain when straps, mats, grounding, and antistatic storage matter.","Apply ESD controls appropriate to CMOS/semiconductor handling and explain when straps, mats, grounding, and antistatic storage matter.",KEEP,Informed by,pccEET101A,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,gptcElectronics | flukeSafety | nasaESD,Georgia Piedmont Technical College — Electronics Technology — current catalog | Fluke — Electrical Measurement Safety | NASA — NASA-HDBK-8739.21 — ESD Control,https://www.gptc.edu/college-catalog/current/programs/electronics-technology | https://www.fluke.com/en-us/learn/online-courses/electrical-measurement-safety | https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,1,1,Required semantic task SEM-C1-01-075; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.
C1.3,"Distinguish safe low-voltage troubleshooting from work that requires qualified supervision, isolation, or energized-work procedures.","Distinguish safe low-voltage troubleshooting from work that requires qualified supervision, isolation, or energized-work procedures.",KEEP,Informed by,pccEET101A,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,gptcElectronics | flukeSafety | nasaESD,Georgia Piedmont Technical College — Electronics Technology — current catalog | Fluke — Electrical Measurement Safety | NASA — NASA-HDBK-8739.21 — ESD Control,https://www.gptc.edu/college-catalog/current/programs/electronics-technology | https://www.fluke.com/en-us/learn/online-courses/electrical-measurement-safety | https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,1,1,Required semantic task SEM-C1-01-075; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.
C1.4,"Perform a pre-power inspection for polarity, shorts, connector orientation, exposed conductors, and current-limit settings.","Perform a pre-power inspection for polarity, shorts, connector orientation, exposed conductors, and current-limit settings.",KEEP,Informed by,pccEET101A,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,gptcElectronics | flukeSafety | nasaESD,Georgia Piedmont Technical College — Electronics Technology — current catalog | Fluke — Electrical Measurement Safety | NASA — NASA-HDBK-8739.21 — ESD Control,https://www.gptc.edu/college-catalog/current/programs/electronics-technology | https://www.fluke.com/en-us/learn/online-courses/electrical-measurement-safety | https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,1,1,Required semantic task SEM-C1-01-075; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.
C1.5,"Choose PPE, ventilation, and tool practices appropriate to soldering, rework, cutting, crimping, and bench assembly.","Choose PPE, ventilation, and tool practices appropriate to soldering, rework, cutting, crimping, and bench assembly.",KEEP,Informed by,pccEET101A,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,gptcElectronics | flukeSafety | nasaESD,Georgia Piedmont Technical College — Electronics Technology — current catalog | Fluke — Electrical Measurement Safety | NASA — NASA-HDBK-8739.21 — ESD Control,https://www.gptc.edu/college-catalog/current/programs/electronics-technology | https://www.fluke.com/en-us/learn/online-courses/electrical-measurement-safety | https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,12,1,Required semantic task SEM-C1-01-075; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.
C1.6,Document a safety or setup hazard and the corrective action before continuing a test.,Document a safety or setup hazard and the corrective action before continuing a test.,KEEP,Informed by,pccEET101A,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,gptcElectronics | flukeSafety | nasaESD,Georgia Piedmont Technical College — Electronics Technology — current catalog | Fluke — Electrical Measurement Safety | NASA — NASA-HDBK-8739.21 — ESD Control,https://www.gptc.edu/college-catalog/current/programs/electronics-technology | https://www.fluke.com/en-us/learn/online-courses/electrical-measurement-safety | https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,1,1,Required semantic task SEM-C1-01-075; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.
C2.1,"Read a schematic by following power rails, grounds, signal flow, reference designators, and functional blocks.","Read a schematic by following power rails, grounds, signal flow, reference designators, and functional blocks.",KEEP,Informed by,gptcElectronics,Georgia Piedmont Technical College — Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,pccEET101B | onetTech,Portland Community College — EET 101B — Electronic Equipment and Lab Skills | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.pcc.edu/ccog/eet/101b/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,2,13,Required semantic task SEM-C2-13-076; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.
C2.2,"Use a component datasheet to identify pinout, absolute maximum ratings, recommended operating conditions, and key electrical characteristics.","Use a component datasheet to identify pinout, absolute maximum ratings, recommended operating conditions, and key electrical characteristics.",KEEP,Informed by,gptcElectronics,Georgia Piedmont Technical College — Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,pccEET101B | onetTech,Portland Community College — EET 101B — Electronic Equipment and Lab Skills | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.pcc.edu/ccog/eet/101b/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,7,13,Required semantic task SEM-C2-13-076; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.
C2.3,"Distinguish a schematic, wiring diagram, block diagram, layout/PCB view, and timing diagram and choose the right artifact for a troubleshooting task.","Distinguish a schematic, wiring diagram, block diagram, layout/PCB view, and timing diagram and choose the right artifact for a troubleshooting task.",KEEP,Informed by,gptcElectronics,Georgia Piedmont Technical College — Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,pccEET101B | onetTech,Portland Community College — EET 101B — Electronic Equipment and Lab Skills | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.pcc.edu/ccog/eet/101b/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,13,13,Required semantic task SEM-C2-13-076; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.
C2.4,Trace a signal or power path from connector to load and identify useful test points before probing.,Trace a signal or power path from connector to load and identify useful test points before probing.,KEEP,Informed by,gptcElectronics,Georgia Piedmont Technical College — Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,pccEET101B | onetTech,Portland Community College — EET 101B — Electronic Equipment and Lab Skills | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.pcc.edu/ccog/eet/101b/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,2,13,Required semantic task SEM-C2-13-076; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.
