Question ID,Week,Question Type,Prompt,Concept,Standard(s),Target Section ID,Target Title,Exists?,Correct Week?,Concept Actually Taught There?,Production Route Version,Learner-Facing Chromium Click
CAREER-W01-CHECK-1,1,Integrated check,A bench supply set to 5 V and 80 mA shows CC mode and 0.9 V after a board is connected. What is the best next action?,bench-supply current limit / CC stop condition,C3.2,career-w01-current-limiting-is-a-protective-boundary-and-a-diagnostic-clue,Current limiting is a protective boundary and a diagnostic clue,PASS,PASS,PASS,16.3.42,PASS
CAREER-W01-CHECK-2,1,Integrated check,State the safe meter configuration for measuring a powered rail voltage.,DMM voltage-mode connection,C3.1,career-w01-voltage-resistance-and-current-modes-are-different-circuits,"Voltage, resistance, and current modes are different circuits",PASS,PASS,PASS,16.3.42,PASS
CAREER-W01-GATE,1,Required gate,Which setup is safe for measuring the voltage across a powered low-voltage resistor?,safe parallel voltage measurement,C3.1,career-w01-voltage-resistance-and-current-modes-are-different-circuits,"Voltage, resistance, and current modes are different circuits",PASS,PASS,PASS,16.3.42,PASS
CAREER-W02-CHECK-1,2,Integrated check,Node A is correct and the immediately downstream node B is wrong. What is the strongest initial conclusion?,first bad boundary localization,C5.3,career-w02-use-the-first-bad-boundary,Use the first bad boundary,PASS,PASS,PASS,16.3.42,PASS
CAREER-W02-CHECK-2,2,Integrated check,What makes a troubleshooting measurement 'discriminating'?,discriminating measurement,C5.2,career-w02-turn-a-schematic-into-a-measurement-plan,Turn a schematic into a measurement plan,PASS,PASS,PASS,16.3.42,PASS
CAREER-W02-GATE,2,Required gate,A circuit is wrong. What is the best first troubleshooting action?,expected-versus-observed troubleshooting start,C5.1,career-w02-a-schematic-is-a-prediction-map,A schematic is a prediction map,PASS,PASS,PASS,16.3.42,PASS
CAREER-W03-CHECK-1,3,Integrated check,Which record is strongest evidence for a scope measurement?,reproducible oscilloscope evidence,C3.3,career-w03-preserve-uncertainty-and-context-in-the-evidence,Preserve uncertainty and context in the evidence,PASS,PASS,PASS,16.3.42,PASS
CAREER-W03-CHECK-2,3,Integrated check,Differentiate resolution from accuracy in one sentence each.,resolution versus accuracy,C3.4,career-w03-preserve-uncertainty-and-context-in-the-evidence,Preserve uncertainty and context in the evidence,PASS,PASS,PASS,16.3.42,PASS
CAREER-W03-GATE,3,Required gate,What makes a scope screenshot reproducible evidence?,reproducible oscilloscope setup,C3.3,career-w03-preserve-uncertainty-and-context-in-the-evidence,Preserve uncertainty and context in the evidence,PASS,PASS,PASS,16.3.42,PASS
CAREER-W04-CHECK-1,4,Integrated check,"For an RC low-pass, doubling C while R stays constant does what to cutoff frequency?",RC cutoff prediction,C3.4,career-w04-the-same-rc-pair-can-perform-different-jobs,The same RC pair can perform different jobs,PASS,PASS,PASS,16.3.42,PASS
CAREER-W04-CHECK-2,4,Integrated check,Why should source and load impedance be included when measured cutoff differs from the simple calculation?,source/load influence on filter response,C2.6,career-w04-a-filter-is-a-transfer-relationship-not-a-label,"A filter is a transfer relationship, not a label",PASS,PASS,PASS,16.3.42,PASS
CAREER-W04-GATE,4,Required gate,An RC network is called low-pass. What must you identify before accepting that label?,identify filter topology and measurement definition,C2.6,career-w04-the-same-rc-pair-can-perform-different-jobs,The same RC pair can perform different jobs,PASS,PASS,PASS,16.3.42,PASS
CAREER-W05-CHECK-1,5,Integrated check,Which next test is strongest when two hypotheses are plausible?,measurement that separates hypotheses,C5.2,career-w05-competing-hypotheses-make-measurements-useful,Competing hypotheses make measurements useful,PASS,PASS,PASS,16.3.42,PASS
CAREER-W05-CHECK-2,5,Integrated check,What distinguishes a verified repair from a symptom that merely disappeared?,verified repair,C5.4,career-w05-root-cause-requires-verification-after-the-fix,Root cause requires verification after the fix,PASS,PASS,PASS,16.3.42,PASS
CAREER-W05-GATE,5,Required gate,"After a repair appears successful, what is required next?",post-repair verification,C5.4,career-w05-root-cause-requires-verification-after-the-fix,Root cause requires verification after the fix,PASS,PASS,PASS,16.3.42,PASS
CAREER-W06-CHECK-1,6,Integrated check,A resonant peak stays at the same frequency but becomes much broader and lower. What change is most consistent?,resonance damping/loading,C3.4,career-w06-real-components-and-instruments-load-the-network,Real components and instruments load the network,PASS,PASS,PASS,16.3.42,PASS
CAREER-W06-CHECK-2,6,Integrated check,Why should a characterization report state source and load impedance?,document source/load conditions,C3.6,career-w06-characterization-starts-with-a-model-and-a-sweep-plan,Characterization starts with a model and a sweep plan,PASS,PASS,PASS,16.3.42,PASS
CAREER-W06-GATE,6,Required gate,Which sweep practice gives the strongest evidence?,controlled sweep evidence,C3.6,career-w06-a-response-curve-is-a-collection-of-controlled-tests,A response curve is a collection of controlled tests,PASS,PASS,PASS,16.3.42,PASS
CAREER-W07-CHECK-1,7,Integrated check,Why is a flyback diode reverse-biased during normal relay energization?,flyback diode normal operation,C2.5,career-w07-a-relay-coil-is-an-inductive-load,A relay coil is an inductive load,PASS,PASS,PASS,16.3.42,PASS
CAREER-W07-CHECK-2,7,Integrated check,Name four relay datasheet values that are not interchangeable and must be checked separately.,relay datasheet parameters,C2.2,career-w07-read-a-datasheet-by-engineering-question,Read a datasheet by engineering question,PASS,PASS,PASS,16.3.42,PASS
CAREER-W07-GATE,7,Required gate,Which datasheet value is a normal design target?,recommended versus maximum ratings,C2.2,career-w07-read-the-datasheet-in-a-risk-first-order,Read the datasheet in a risk-first order,PASS,PASS,PASS,16.3.42,PASS
CAREER-W08-CHECK-1,8,Integrated check,"GPIO is high and Vgs is 3.3 V, but an N-MOSFET drain remains near the supply and the load is off. Which check is most relevant next?",MOSFET switch-node diagnosis,C5.2,career-w08-diagnose-by-comparing-control-node-switch-node-and-load-current,"Diagnose by comparing control node, switch node, and load current",PASS,PASS,PASS,16.3.42,PASS
CAREER-W08-CHECK-2,8,Integrated check,Why add a gate pull-down resistor?,gate pull-down purpose,C2.5,career-w08-a-low-side-switch-is-a-complete-electrical-path,A low-side switch is a complete electrical path,PASS,PASS,PASS,16.3.42,PASS
CAREER-W08-GATE,8,Required gate,"For a low-side MOSFET, which voltage determines gate enhancement?",Vgs controls enhancement,C2.5,career-w08-a-low-side-switch-is-a-complete-electrical-path,A low-side switch is a complete electrical path,PASS,PASS,PASS,16.3.42,PASS
CAREER-W09-CHECK-1,9,Integrated check,"A regulator has correct input voltage, low output, and high current draw. Which first action is strongest?",regulator overload diagnosis,C5.2,career-w09-power-problems-are-upstream-until-evidence-says-otherwise,Power problems are upstream until evidence says otherwise,PASS,PASS,PASS,16.3.42,PASS
CAREER-W09-CHECK-2,9,Integrated check,Why create a known-good rail/current baseline?,known-good rail/current baseline,C3.2,career-w09-document-staged-bring-up,Document staged bring-up,PASS,PASS,PASS,16.3.42,PASS
CAREER-W09-GATE,9,Required gate,A new board instantly hits the current limit. What should you do?,current-limit stop condition,C3.2,career-w09-current-limiting-converts-catastrophic-faults-into-observable-evidence,Current limiting converts catastrophic faults into observable evidence,PASS,PASS,PASS,16.3.42,PASS
CAREER-W10-CHECK-1,10,Integrated check,An amplifier has correct low-frequency gain but triangular output only at high frequency and large amplitude. What is a leading hypothesis?,slew/rate or bandwidth waveform fault,C5.2,career-w10-use-waveform-shape-to-classify-faults,Use waveform shape to classify faults,PASS,PASS,PASS,16.3.42,PASS
CAREER-W10-CHECK-2,10,Integrated check,Why measure DC bias before troubleshooting AC gain?,DC bias before AC gain,C2.6,career-w10-begin-with-a-signal-budget,Begin with a signal budget,PASS,PASS,PASS,16.3.42,PASS
