Week,Teaching Media Items,Valid Lesson Relationships,Orphans,Broken Links,Status
1,25,25,0,0,PASS
2,13,13,0,0,PASS
3,14,14,0,0,PASS
4,9,9,0,0,PASS
5,7,7,0,0,PASS
6,5,5,0,0,PASS
7,26,26,0,0,PASS
8,15,15,0,0,PASS
9,10,10,0,0,PASS
10,10,10,0,0,PASS
11,14,14,0,0,PASS
12,11,11,0,0,PASS
13,7,7,0,0,PASS
14,9,9,0,0,PASS
15,7,7,0,0,PASS
16,4,4,0,0,PASS
17,11,11,0,0,PASS
18,13,13,0,0,PASS
19,13,13,0,0,PASS
20,12,12,0,0,PASS
21,4,4,0,0,PASS
22,10,10,0,0,PASS
23,8,8,0,0,PASS
24,5,5,0,0,PASS
25,9,9,0,0,PASS
26,6,6,0,0,PASS
27,9,9,0,0,PASS
28,13,13,0,0,PASS
29,8,8,0,0,PASS
30,9,9,0,0,PASS
31,6,6,0,0,PASS
