Week,Phase,Module Title,Difficulty,CETa Foundation / Activation,Official CETa Codes Present This Week,Career Prerequisite Activation,New Career Learning,Genuine CETa/Career Overlap,Career Standards Taught This Week,Career Standards Introduced / Previewed,Career Standards Reinforced / Applied,Career Teaching Section IDs,Future Preparation,Curriculum Source Relationship,Curriculum Source IDs,Curriculum Source Basis,Runtime Reconciliation
1,Phase I · Electrical Foundations,"Electricity, Safety, Ohm’s Law, and Power",Foundation,"Voltage, current, resistance, power, polarity, reference, open/short circuit, and Week 1 safety boundaries.",1.1; 1.4; 1.5; 1.7; 1.13; 2.1; 2.4; 2.6; 2.13; 2.13.1; 2.14; 8.3; 9.1; 9.2; 9.3; 9.8; 9.9; 1.2; 1.3; 1.10.1; 1.10.3; 1.11; 1.12; 1.14,Use only the Week 1 CETa electrical-quantity and safety foundation. No prior bench-equipment experience is assumed.,"Bench power supply, DMM modes/jacks, current limiting, pre-power inspection, first-power sequence, stop conditions, and hazard logging.",CETa explains the electrical quantities; Career turns them into a controlled first-power and measurement workflow.,C1.1; C1.2; C1.3; C1.4; C1.5; C1.6; C3.1; C3.2,,,career-w01-meet-the-bench-before-you-use-it; career-w01-voltage-resistance-and-current-modes-are-different-circuits; career-w01-current-limiting-is-a-protective-boundary-and-a-diagnostic-clue; career-w01-pre-power-inspection-creates-the-first-known-good-state; career-w01-first-power-is-a-staged-observation-not-a-single-switch-action; career-w01-career-integration-bench-safety-esd-pre-power-control-and-hazard-logging; career-w01-i-do-alfred-models-a-5-v-led-first-power-decision; career-w01-we-do-choose-the-next-safe-check; career-w01-you-do-write-a-bench-entry-checklist-you-can-reuse,"Creates the bench habits required for every later measurement, bring-up, troubleshooting, and lab task.",Informed by / cross-checked against,gptcElectronics; pccEET101A; flukeDMM; flukeSafety; nasaESD,Informed by / cross-checked against: Georgia Piedmont Technical College — Electronics Technology — current catalog; Portland Community College — EET 101A — Electronic Lab and Essential Work Skills; Fluke — Digital Multimeter Basics; Fluke — Electrical Measurement Safety; NASA — NASA-HDBK-8739.21 — ESD Control,PASS
2,Phase I · Electrical Foundations,"DC Networks, Kirchhoff’s Laws, and Voltage Dividers",Foundation,"Series/parallel networks, KVL/KCL, dividers, expected node values, and reference-node reasoning.",2.6; 2.7; 4.1; 4.2; 4.3; 4.4; 4.5; 4.6; 4.11; 9.1; 9.3; 2.2.1; 2.2.2; 2.5.1; 2.12.1; 2.12.2; 4.8; 4.9; 4.10; 4.12; 4.13; 4.14; 4.15; 4.16; 4.17,Bring forward Week 1 safe measurement habits plus the Week 2 CETa network equations and expected-node reasoning.,"Expected-versus-actual troubleshooting, node tables, first hypotheses, divide-and-conquer test-point selection, and one-change-at-a-time discipline.",Career uses the exact CETa node-voltage/current predictions as the known-good baseline for troubleshooting.,C2.1; C2.4; C2.6; C5.2; C5.3,,C3.1,career-w02-a-schematic-is-a-prediction-map; career-w02-fault-patterns-have-structure; career-w02-change-one-variable-and-preserve-the-evidence; career-w02-turn-a-schematic-into-a-measurement-plan; career-w02-use-the-first-bad-boundary; career-w02-different-faults-leave-different-signatures,Prepares the learner to choose instruments and high-information measurements rather than probe randomly.,Informed by / cross-checked against,gptcElectronics; pccEET101B; onetTech,Informed by / cross-checked against: Georgia Piedmont Technical College — Electronics Technology — current catalog; Portland Community College — EET 101B — Electronic Equipment and Lab Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,PASS
3,Phase I · Electrical Foundations,"DMM, Bench Supply, and Oscilloscope",Foundation,"DMM/scope connection rules, waveform quantities, measurement units, and safe references.",1.1; 1.5; 8.1; 8.2; 8.3; 8.4; 8.5; 8.6; 8.7; 8.8; 8.12; 8.13; 8.14; 8.10; 8.11; 8.12.1; 8.15; 8.16,Use Week 1 bench safety and the CETa measurement concepts already taught. No professional measurement-planning experience is assumed.,"Question-first instrument selection, DMM/bench-supply/scope onboarding, probe/reference discipline, loading/accuracy/resolution, and reproducible evidence. Logic-analyzer use is deliberately deferred to Week 18.",CETa supplies what electrical quantities and waveforms mean; Career teaches how a technician chooses and configures the instrument that can answer a specific question.,C3.3; C3.4; C3.6,,C1.1; C1.3; C1.4; C3.1; C3.2,career-w03-start-with-a-measurable-question-not-with-a-probe; career-w03-use-the-dmm-and-bench-supply-for-slow-or-static-evidence; career-w03-learn-the-oscilloscope-on-a-known-waveform-first; career-w03-choose-among-the-tools-that-have-actually-been-taught; career-w03-reference-grounding-loading-and-bandwidth-can-change-the-result; career-w03-i-do-configure-and-measure-a-known-square-wave; career-w03-we-do-you-do-plan-two-measurements-without-future-domain-assumptions; career-w03-preserve-uncertainty-and-context-in-the-evidence,"Becomes the common measurement workflow for filters, semiconductors, MCU bring-up, RF work, and later digital-bus analysis; logic-analyzer configuration is first taught in Week 18.",Informed by / cross-checked against,pccEET101A; pccEET101B; flukeDMM; tekScope; onetTech,Informed by / cross-checked against: Portland Community College — EET 101A — Electronic Lab and Essential Work Skills; Portland Community College — EET 101B — Electronic Equipment and Lab Skills; Fluke — Digital Multimeter Basics; Tektronix — The XYZs of Oscilloscopes; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,PASS
4,Phase I · Electrical Foundations,"AC Waveforms, Capacitors, Inductors, and Time Response",Foundation,"Capacitance, RC time behavior, frequency response, and filter fundamentals.",2.8; 2.9; 2.10; 2.13; 3.2; 3.3; 9.1; 9.3; 9.4; 9.6; 9.8.1,"Use the Week 3 measurement workflow plus CETa RC/filter behavior. The learner should already know amplitude, period, frequency, and time constant.","Turn time-domain observations into evidence about cutoff, charging/discharging, distortion, and fault location.",Career measures the same RC/filter behavior CETa explains mathematically and physically.,,,C2.6; C3.3; C3.4; C3.6,career-w04-the-same-rc-pair-can-perform-different-jobs; career-w04-measure-response-as-a-ratio-across-frequency; career-w04-transient-shape-is-a-diagnostic-signature; career-w04-a-filter-is-a-transfer-relationship-not-a-label; career-w04-time-domain-and-frequency-domain-evidence-describe-the-same-network; career-w04-faults-shift-recognizable-features,Builds the habit of predicting waveform shape before using a scope for diagnosis.,Informed by / cross-checked against,gptcElectronics; pccEET101B; tekScope,Informed by / cross-checked against: Georgia Piedmont Technical College — Electronics Technology — current catalog; Portland Community College — EET 101B — Electronic Equipment and Lab Skills; Tektronix — The XYZs of Oscilloscopes,PASS
5,Phase I · Electrical Foundations,Foundation Mastery and Practical Fault Isolation,Foundation,Cumulative DC/AC/component fundamentals needed for the first troubleshooting gate.,1.1; 1.4; 2.6; 2.8; 2.9; 4.1; 4.2; 4.3; 8.3; 8.6; 8.13; 9.1; 9.3; 9.4,"Use Weeks 1–4 safety, expected-value, and instrument-selection habits. No new tool should appear without explanation.",A complete reproduce → predict → measure → isolate → repair → verify troubleshooting loop under a practical gate.,CETa supplies component/circuit behavior; Career organizes that knowledge into a repeatable diagnostic process.,C5.1; C5.4,,C1.1; C1.4; C2.1; C2.4; C2.6; C3.1; C3.2; C3.3; C3.6; C5.2; C5.3,career-w05-start-with-an-observable-failure-statement; career-w05-let-each-measurement-shrink-the-fault-space; career-w05-verification-is-more-than-seeing-the-output-once; career-w05-freeze-the-symptom-before-changing-anything; career-w05-competing-hypotheses-make-measurements-useful; career-w05-root-cause-requires-verification-after-the-fix,Establishes the troubleshooting model reused through the rest of the course.,Informed by / cross-checked against,pccEET101B; onetTech; nasaSystems,Informed by / cross-checked against: Portland Community College — EET 101B — Electronic Equipment and Lab Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; NASA — NASA Systems Engineering Handbook,PASS
6,Phase II · Electronics & Troubleshooting,"Reactance, Impedance, Resonance, Filters, and Transformers",Foundation,RLC/resonance/filter response and frequency-domain relationships.,2.8; 2.9; 2.10; 2.11; 2.12; 3.2; 3.3; 3.4; 4.7; 4.11; 9.4; 9.6,Bring forward Week 3 measurement planning and Week 4 waveform/filter evidence.,"Characterization tables, sweep planning, resonant/filter comparison, tolerance reasoning, and technician reporting.",Career converts CETa frequency-response theory into measured characterization.,,,C2.6; C3.3; C3.4; C3.6; C5.2,career-w06-a-response-curve-is-a-collection-of-controlled-tests; career-w06-real-components-and-instruments-load-the-network; career-w06-use-error-shape-to-choose-the-next-test; career-w06-characterization-starts-with-a-model-and-a-sweep-plan; career-w06-amplitude-and-phase-are-separate-evidence; career-w06-fault-signatures-can-be-predicted-before-sweeping,Prepares for transistor/op-amp signal chains and later spectrum work.,Informed by / cross-checked against,gptcElectronics; tekScope; tiPrecision,Informed by / cross-checked against: Georgia Piedmont Technical College — Electronics Technology — current catalog; Tektronix — The XYZs of Oscilloscopes; Texas Instruments — TI Precision Labs,PASS
7,Phase II · Electronics & Troubleshooting,"Components, Magnetism, Relays, Motors, and Generators",Intermediate,"Diodes, rectification, inductance, switching devices, and protection concepts.",2.2; 2.3; 2.5; 2.7; 2.8; 2.9; 3.1; 3.2; 3.3; 3.4; 3.5; 3.1.1; 3.1.2; 3.1.3; 3.1.4; 3.2.1; 3.2.2; 3.3.1; 3.4.1; 3.4.2; 3.8; 3.9; 3.9.1; 3.9.2; 3.9.3,Use CETa device behavior plus prior pre-power and measurement discipline. Datasheet reading is introduced explicitly before design use.,"Datasheet pin/rating extraction, relay/inductive-load interface planning, flyback protection, and evidence-based component selection.",CETa teaches device physics/behavior; Career uses datasheets to turn that behavior into a safe interface.,C2.2; C2.5,,C1.4; C3.1; C5.2,career-w07-read-the-datasheet-in-a-risk-first-order; career-w07-budget-every-current-path; career-w07-verify-both-function-and-stress; career-w07-read-a-datasheet-by-engineering-question; career-w07-a-relay-coil-is-an-inductive-load; career-w07-separate-logic-control-power-path-and-switched-load,Prepares protected transistor/MOSFET switching and regulator bring-up.,Informed by / cross-checked against,gptcElectronics; tiPrecision; onetTech,Informed by / cross-checked against: Georgia Piedmont Technical College — Electronics Technology — current catalog; Texas Instruments — TI Precision Labs; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,PASS
8,Phase II · Electronics & Troubleshooting,"Diodes, BJTs, MOSFETs, and Controlled Switching",Intermediate,"Transistor/MOSFET switching behavior, protection, power dissipation, and bias/control ideas.",3.5; 3.5.1; 3.5.2; 3.5.3; 3.6; 3.6.1; 3.6.2; 3.7; 3.7.1; 3.7.2; 3.7.3,Use Week 7 datasheet and inductive-load discipline plus CETa transistor/MOSFET fundamentals.,"Protected low-side switching, gate/base drive checks, flyback paths, dissipation estimates, and layered fault isolation.",Career applies CETa semiconductor behavior to a practical driver circuit.,,,C1.2; C2.2; C2.5; C3.1; C5.2,career-w08-start-from-the-load-and-work-backward; career-w08-pre-power-inspection-targets-high-consequence-mistakes; career-w08-three-node-measurements-usually-reveal-the-stage-that-failed; career-w08-a-low-side-switch-is-a-complete-electrical-path; career-w08-gate-drive-and-switching-loss-are-real-design-constraints; career-w08-diagnose-by-comparing-control-node-switch-node-and-load-current,Creates a reusable switching pattern for actuators and embedded interfaces.,Informed by / cross-checked against,gptcElectronics; tiPrecision; adiLinear,Informed by / cross-checked against: Georgia Piedmont Technical College — Electronics Technology — current catalog; Texas Instruments — TI Precision Labs; Analog Devices — Basic Linear Design,PASS
9,Phase II · Electronics & Troubleshooting,"Rectifiers, Filters, Regulators, and Power-Supply Faults",Intermediate,"Power-supply, regulation, ripple, grounding, and load concepts.",3.7; 3.7.1; 3.7.3; 10.1; 10.2; 10.3; 10.4; 10.5; 10.6; 10.7; 10.8; 10.9; 10.10; 10.3.1; 10.4.1; 10.4.2; 10.4.3; 10.11,"Use Week 1 current-limited first power, Week 2 expected nodes, and Week 3 question-first measurement.","Rail-by-rail bring-up, current signature interpretation, regulator checks, staged load connection, and supply-fault isolation.",Career turns CETa power-supply theory into a staged bring-up sequence.,,,C1.1; C1.3; C1.4; C2.1; C2.4; C3.1; C3.2; C5.2; C5.3,career-w09-power-problems-are-upstream-until-evidence-says-otherwise; career-w09-current-limiting-converts-catastrophic-faults-into-observable-evidence; career-w09-ripple-measurement-can-be-corrupted-by-the-probe-loop; career-w09-start-with-a-power-tree; career-w09-use-rail-behavior-to-distinguish-source-regulator-and-load-faults; career-w09-document-staged-bring-up,Directly supports MCU board bring-up and project first power.,Informed by / cross-checked against,gptcElectronics; flukeDMM; onetTech,Informed by / cross-checked against: Georgia Piedmont Technical College — Electronics Technology — current catalog; Fluke — Digital Multimeter Basics; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,PASS
10,Phase II · Electronics & Troubleshooting,"Amplifiers, Op-Amps, Gain, Decibels, and Loading",Intermediate,"Amplifiers, signal conditioning, gain, bandwidth, loading, and clipping concepts.",9.4; 9.6; 11.1; 11.2; 11.3; 11.4; 11.5; 11.6; 11.7; 11.8; 11.9; 17.1; 17.2; 11.3.1; 11.3.2; 11.6.1; 11.8.1,Use Week 3 scope discipline and CETa amplifier/signal-chain models.,"Signal-path block reasoning, expected gain/offset/bandwidth, test-point planning, and stage-by-stage isolation.","Career measures the same gain, bias, and bandwidth relationships CETa explains.",,,C2.2; C2.5; C2.6; C3.3; C3.4; C5.2; C5.3,career-w10-begin-with-a-signal-budget; career-w10-feedback-faults-leave-recognizable-evidence; career-w10-report-gain-across-frequency-and-load; career-w10-use-waveform-shape-to-classify-faults; career-w10-change-one-condition-to-separate-mechanisms,Prepares mixed-signal and sensor-path diagnosis.,Informed by / cross-checked against,gptcElectronics; tiOpAmp; adiOpAmp,Informed by / cross-checked against: Georgia Piedmont Technical College — Electronics Technology — current catalog; Texas Instruments — TI Precision Labs — Op Amps; Analog Devices — Learn the Fundamentals of Op Amps,PASS
