Assignment Week,Source ID,Canonical Source ID,Title,Provider,Resource Type,Original Role,Disposition,Instructional Week,Lesson,Section ID,Section Label,Relationship,Requirement,Inline,Exact Backlink,Context Framing,Post-Resource Action,Duplicate Status,Final Audit Result,Reason
1,aacCurrentPath,aacCurrentPath,Basic Requirements for Current,North Seattle Community College / All About Circuits,College video lecture with transcript,Required · Teaching lecture,RETAINED + INTEGRATED,1,CETa,concept-4,A circuit needs a closed path,Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-4&from=media&mediaWeek=1&media=aacCurrentPath,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Predict current before calculation and explain why an open path produces zero current.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,aacElectricalA,aacElectricalA,"Electrical Quantities A — Voltage, Current, Resistance, and Charge",North Seattle Community College / All About Circuits,College video lecture with transcript,Required · Teaching lecture,RETAINED + INTEGRATED,1,CETa,concept-11,Put the model together: predict before you measure,Review of,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-11&from=media&mediaWeek=1&media=aacElectricalA,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Explain each quantity, its unit, and whether it is measured across or through a circuit element.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,aacElectricalB,aacElectricalB,Electrical Quantities B — Ohm’s Law and Electrical Power,North Seattle Community College / All About Circuits,College video lecture with transcript,Required · Teaching lecture,RETAINED + INTEGRATED,1,CETa,concept-10,Power: how quickly electrical energy is transferred,Used in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-10&from=media&mediaWeek=1&media=aacElectricalB,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Predict direct/inverse relationships before calculating; rearrange V=IR and verify P=VI, I²R and V²/R with units.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,aacGroundReference,aacGroundReference,Ground and Other Reference Points,North Seattle Community College / All About Circuits,College video lecture with transcript,Required · Teaching lecture,RETAINED + INTEGRATED,1,Career,career-w01-pre-power-inspection-creates-the-first-known-good-state,Pre-power inspection creates the first known-good state,Taught in,required,YES,learn.html?week=1&stage=career-lesson&lesson=1&section=career-w01-pre-power-inspection-creates-the-first-known-good-state&from=media&mediaWeek=1&media=aacGroundReference,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Predict positive/negative meter readings from probe order and chosen reference.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,aacTechnicalNotation,aacTechnicalNotation,Technical Notation — Engineering Notation and SI Prefixes,North Seattle Community College / All About Circuits,College video lecture with transcript,Required · Teaching lecture,RETAINED + INTEGRATED,1,CETa,concept-6,SI prefixes are multipliers attached to units,Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-6&from=media&mediaWeek=1&media=aacTechnicalNotation,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Convert base units ↔ milli/micro/nano/pico/kilo/mega/giga without losing powers of ten.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,afrotechmodsMultimeter,afrotechmodsMultimeter,THE BEST Multimeter tutorial (HD),Afrotechmods,Beginner YouTube multimeter demonstration,BENCH BRIDGE · Multimeter fundamentals,RETAINED + INTEGRATED,1,Career,career-w01-voltage-resistance-and-current-modes-are-different-circuits,"Voltage, resistance, and current modes are different circuits",Demonstrated in,supporting,YES,learn.html?week=1&stage=career-lesson&lesson=1&section=career-w01-voltage-resistance-and-current-modes-are-different-circuits&from=media&mediaWeek=1&media=afrotechmodsMultimeter,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Notice mode/range selection, probe jacks, voltage measured across two points, current measured through a circuit path, de-energized resistance/continuity checks, and the consequences of using the current jack incorrectly.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,afrotechmodsPowerWatts,afrotechmodsPowerWatts,Basic Electricity - Power and watts,Afrotechmods,Beginner YouTube electronics tutorial with practical measurement demo,CLARITY · Electrical power and watts,RETAINED + INTEGRATED,1,CETa,concept-10,Power: how quickly electrical energy is transferred,Demonstrated in,supporting,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-10&from=media&mediaWeek=1&media=afrotechmodsPowerWatts,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Connect power to the rate of energy transfer, relate P = VI to measured voltage/current, and notice how a resistor can be electrically correct in ohms yet undersized in watts.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,afrotechmodsResistanceOhmsLaw,afrotechmodsResistanceOhmsLaw,Basic Electricity - Resistance and Ohm's law,Afrotechmods,Beginner YouTube electronics tutorial with practical circuit demo,CLARITY · Resistance and Ohm's law,RETAINED + INTEGRATED,1,CETa,concept-5,Resistance: why the same voltage does not produce the same current everywhere,Demonstrated in,supporting,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-5&from=media&mediaWeek=1&media=afrotechmodsResistanceOhmsLaw,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Predict direction first: at fixed voltage, more resistance means less current. Then connect that physical relationship to V = IR instead of treating the formula as isolated memorization.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,afrotechmodsWhatIsAmp,afrotechmodsWhatIsAmp,Basic Electricity - What is an amp?,Afrotechmods,Beginner YouTube electronics tutorial,CLARITY · Current and amperes,RETAINED + INTEGRATED,1,CETa,concept-2,Current: charge moving through a path over time,Used in,supporting,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-2&from=media&mediaWeek=1&media=afrotechmodsWhatIsAmp,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Connect amperes to rate of charge flow, keep conventional-current language separate from electron motion, and say current goes through a path rather than across it.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,afrotechmodsWhatIsVoltage,afrotechmodsWhatIsVoltage,Basic Electricity - What is voltage?,Afrotechmods,Beginner YouTube electronics tutorial,CLARITY · Voltage,RETAINED + INTEGRATED,1,CETa,concept-3,Voltage: an energy difference between two points,Used in,supporting,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-3&from=media&mediaWeek=1&media=afrotechmodsWhatIsVoltage,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Connect volts to energy per charge, distinguish voltage from current, and notice that voltage is always a difference between two points even when a reference node is implied.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
