track,code,officialRequirement,category,categoryTitle,week,lesson,teachingSection,teachingLevel,guidedPractice,independentPractice,assessmentEvidence,masteryEvidence,laboratoryEvidence,labId,semanticVersion,semanticTeachingVerdict,semanticTeachingSection,semanticAssessmentTask,requiredSubjectKnowledge,visualEvidence,integratedLessonTrack,sourceVersion
CETa,1.1,Describe the physiological reactions electrical shock causes,1,Safety Precautions,1,The four quantities and the circuit they describe,"W01-CETA-v16.3 · Shock physiology, emergency response, and First Aid boundaries","v16.3 integrated lesson: subject-specific technical instruction, instructional visual, worked examples, guided practice, changed independent scenario, knowledge checks, and required semantic evidence.","A 3.3 V source is applied to 1.5 kOhm. Calculate current, then state whether 1 mA or 10 mA is the more sensible mental estimate before calculating. | A resistor carries 20 mA with 5 V across it. Find resistance and power. Keep units through every step. | Sketch a source, resistor, return path, and reference node. Mark where a voltmeter connects and where an ammeter would have to be inserted.","A 9 V battery powers an LED branch modeled for this exercise as a 2.0 V LED drop plus a series resistor. Choose a resistor that produces approximately 10 mA, calculate resistor power, choose a sensible resistor power rating, and explain what changes if the resistor is accidentally one tenth the intended value.",Required semantic task SEM-1-01-001; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.,Correct auto-graded lesson checks where applicable; topic-specific constructed-response/performance evidence; changed-context practice; weekly cumulative mastery; physical evidence when required.,"LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.",LAB-001,16.3.64,PASS,"Shock physiology, emergency response, and First Aid boundaries",SEM-1-01-001,"Recognize shock effects can include involuntary contraction, burns, respiratory or cardiac effects; Do not touch a person who may still be energized; Call emergency services and remove energy only by a safe trained method; Use CPR/AED/First Aid only within training and authorization; State that electrical injury may require medical evaluation even when external burns look limited",w01-dc-quantities,CETa,CETa semantic baseline v16.3
CETa,1.2,Explain the First Aid concepts and its particular importance to workers in electric and electronics fields explaining precautions for the untrained,1,Safety Precautions,1,The four quantities and the circuit they describe,"W01-CETA-v16.3 · Shock physiology, emergency response, and First Aid boundaries","v16.3 integrated lesson: subject-specific technical instruction, instructional visual, worked examples, guided practice, changed independent scenario, knowledge checks, and required semantic evidence.","A 3.3 V source is applied to 1.5 kOhm. Calculate current, then state whether 1 mA or 10 mA is the more sensible mental estimate before calculating. | A resistor carries 20 mA with 5 V across it. Find resistance and power. Keep units through every step. | Sketch a source, resistor, return path, and reference node. Mark where a voltmeter connects and where an ammeter would have to be inserted.","A 9 V battery powers an LED branch modeled for this exercise as a 2.0 V LED drop plus a series resistor. Choose a resistor that produces approximately 10 mA, calculate resistor power, choose a sensible resistor power rating, and explain what changes if the resistor is accidentally one tenth the intended value.",Required semantic task SEM-1-01-001; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.,Correct auto-graded lesson checks where applicable; topic-specific constructed-response/performance evidence; changed-context practice; weekly cumulative mastery; physical evidence when required.,"LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.",LAB-001,16.3.64,PASS,"Shock physiology, emergency response, and First Aid boundaries",SEM-1-01-001,"Recognize shock effects can include involuntary contraction, burns, respiratory or cardiac effects; Do not touch a person who may still be energized; Call emergency services and remove energy only by a safe trained method; Use CPR/AED/First Aid only within training and authorization; State that electrical injury may require medical evaluation even when external burns look limited",w01-dc-quantities,CETa,CETa semantic baseline v16.3
CETa,1.3,"Explain the National Fire Protection Association (NFPA®) 70 rules described as the National Electrical Code® - NEC®, explaining how technicians comply with safety and installations",1,Safety Precautions,1,The four quantities and the circuit they describe,"W01-CETA-v16.3 · NEC awareness, overcurrent protection, and lockout/tagout","v16.3 integrated lesson: subject-specific technical instruction, instructional visual, worked examples, guided practice, changed independent scenario, knowledge checks, and required semantic evidence.","A 3.3 V source is applied to 1.5 kOhm. Calculate current, then state whether 1 mA or 10 mA is the more sensible mental estimate before calculating. | A resistor carries 20 mA with 5 V across it. Find resistance and power. Keep units through every step. | Sketch a source, resistor, return path, and reference node. Mark where a voltmeter connects and where an ammeter would have to be inserted.","A 9 V battery powers an LED branch modeled for this exercise as a 2.0 V LED drop plus a series resistor. Choose a resistor that produces approximately 10 mA, calculate resistor power, choose a sensible resistor power rating, and explain what changes if the resistor is accidentally one tenth the intended value.",Required semantic task SEM-1-01-002; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.,Correct auto-graded lesson checks where applicable; topic-specific constructed-response/performance evidence; changed-context practice; weekly cumulative mastery; physical evidence when required.,"LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.",LAB-001,16.3.64,PASS,"NEC awareness, overcurrent protection, and lockout/tagout",SEM-1-01-002,"Match fuse/breaker type, voltage, current and interrupting rating; Explain time-delay versus fast-acting behavior; Do not bypass or up-rate protection to cure a fault; Describe identify-shutdown-isolate-lock/tag-control stored energy-verify sequence; Distinguish a control command from physical energy isolation",w01-dc-quantities,CETa,CETa semantic baseline v16.3
CETa,1.4,Describe fusing and circuit breaker rules and reasons for different type of fuses,1,Safety Precautions,1,The four quantities and the circuit they describe,"W01-CETA-v16.3 · NEC awareness, overcurrent protection, and lockout/tagout","v16.3 integrated lesson: subject-specific technical instruction, instructional visual, worked examples, guided practice, changed independent scenario, knowledge checks, and required semantic evidence.","A 3.3 V source is applied to 1.5 kOhm. Calculate current, then state whether 1 mA or 10 mA is the more sensible mental estimate before calculating. | A resistor carries 20 mA with 5 V across it. Find resistance and power. Keep units through every step. | Sketch a source, resistor, return path, and reference node. Mark where a voltmeter connects and where an ammeter would have to be inserted.","A 9 V battery powers an LED branch modeled for this exercise as a 2.0 V LED drop plus a series resistor. Choose a resistor that produces approximately 10 mA, calculate resistor power, choose a sensible resistor power rating, and explain what changes if the resistor is accidentally one tenth the intended value.",Required semantic task SEM-1-01-002; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.,Correct auto-graded lesson checks where applicable; topic-specific constructed-response/performance evidence; changed-context practice; weekly cumulative mastery; physical evidence when required.,"LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.",LAB-001,16.3.64,PASS,"NEC awareness, overcurrent protection, and lockout/tagout",SEM-1-01-002,"Match fuse/breaker type, voltage, current and interrupting rating; Explain time-delay versus fast-acting behavior; Do not bypass or up-rate protection to cure a fault; Describe identify-shutdown-isolate-lock/tag-control stored energy-verify sequence; Distinguish a control command from physical energy isolation",w01-dc-quantities,CETa,CETa semantic baseline v16.3
CETa,1.5,"Explain static causes, electrostatic discharge and CMOS damage prevention straps, mats and grounding",1,Safety Precautions,1,The four quantities and the circuit they describe,"W01-CETA-v16.3 · ESD, technician tool hazards, and PPE","v16.3 integrated lesson: subject-specific technical instruction, instructional visual, worked examples, guided practice, changed independent scenario, knowledge checks, and required semantic evidence.","A 3.3 V source is applied to 1.5 kOhm. Calculate current, then state whether 1 mA or 10 mA is the more sensible mental estimate before calculating. | A resistor carries 20 mA with 5 V across it. Find resistance and power. Keep units through every step. | Sketch a source, resistor, return path, and reference node. Mark where a voltmeter connects and where an ammeter would have to be inserted.","A 9 V battery powers an LED branch modeled for this exercise as a 2.0 V LED drop plus a series resistor. Choose a resistor that produces approximately 10 mA, calculate resistor power, choose a sensible resistor power rating, and explain what changes if the resistor is accidentally one tenth the intended value.",Required semantic task SEM-1-01-003; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.,Correct auto-graded lesson checks where applicable; topic-specific constructed-response/performance evidence; changed-context practice; weekly cumulative mastery; physical evidence when required.,"LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.",LAB-001,16.3.64,PASS,"ESD, technician tool hazards, and PPE",SEM-1-01-003,Explain why imperceptible ESD can damage CMOS; Name mat/strap/packaging/handling controls; State that ESD straps are governed by energized-work safety rules; Identify at least three non-ESD technician hazards; Explain that PPE follows hazard assessment and does not replace isolation or correct tools,w01-dc-quantities,CETa,CETa semantic baseline v16.3
CETa,1.7,Describe lockout/tag out rules for potentially unsafe electrical or mechanical hazards,1,Safety Precautions,1,The four quantities and the circuit they describe,"W01-CETA-v16.3 · NEC awareness, overcurrent protection, and lockout/tagout","v16.3 integrated lesson: subject-specific technical instruction, instructional visual, worked examples, guided practice, changed independent scenario, knowledge checks, and required semantic evidence.","A 3.3 V source is applied to 1.5 kOhm. Calculate current, then state whether 1 mA or 10 mA is the more sensible mental estimate before calculating. | A resistor carries 20 mA with 5 V across it. Find resistance and power. Keep units through every step. | Sketch a source, resistor, return path, and reference node. Mark where a voltmeter connects and where an ammeter would have to be inserted.","A 9 V battery powers an LED branch modeled for this exercise as a 2.0 V LED drop plus a series resistor. Choose a resistor that produces approximately 10 mA, calculate resistor power, choose a sensible resistor power rating, and explain what changes if the resistor is accidentally one tenth the intended value.",Required semantic task SEM-1-01-002; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.,Correct auto-graded lesson checks where applicable; topic-specific constructed-response/performance evidence; changed-context practice; weekly cumulative mastery; physical evidence when required.,"LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.",LAB-001,16.3.64,PASS,"NEC awareness, overcurrent protection, and lockout/tagout",SEM-1-01-002,"Match fuse/breaker type, voltage, current and interrupting rating; Explain time-delay versus fast-acting behavior; Do not bypass or up-rate protection to cure a fault; Describe identify-shutdown-isolate-lock/tag-control stored energy-verify sequence; Distinguish a control command from physical energy isolation",w01-dc-quantities,CETa,CETa semantic baseline v16.3
CETa,1.10.1,"Describe PPE (personal protection equipment) needs, i.e. NFPA Table 130.5(c)",1,Safety Precautions,1,The four quantities and the circuit they describe,"W01-CETA-v16.3 · ESD, technician tool hazards, and PPE","v16.3 integrated lesson: subject-specific technical instruction, instructional visual, worked examples, guided practice, changed independent scenario, knowledge checks, and required semantic evidence.","A 3.3 V source is applied to 1.5 kOhm. Calculate current, then state whether 1 mA or 10 mA is the more sensible mental estimate before calculating. | A resistor carries 20 mA with 5 V across it. Find resistance and power. Keep units through every step. | Sketch a source, resistor, return path, and reference node. Mark where a voltmeter connects and where an ammeter would have to be inserted.","A 9 V battery powers an LED branch modeled for this exercise as a 2.0 V LED drop plus a series resistor. Choose a resistor that produces approximately 10 mA, calculate resistor power, choose a sensible resistor power rating, and explain what changes if the resistor is accidentally one tenth the intended value.",Required semantic task SEM-1-01-003; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.,Correct auto-graded lesson checks where applicable; topic-specific constructed-response/performance evidence; changed-context practice; weekly cumulative mastery; physical evidence when required.,"LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.",LAB-001,16.3.64,PASS,"ESD, technician tool hazards, and PPE",SEM-1-01-003,Explain why imperceptible ESD can damage CMOS; Name mat/strap/packaging/handling controls; State that ESD straps are governed by energized-work safety rules; Identify at least three non-ESD technician hazards; Explain that PPE follows hazard assessment and does not replace isolation or correct tools,w01-dc-quantities,CETa,CETa semantic baseline v16.3
CETa,1.10.3,Describe other OSHA safety rules,1,Safety Precautions,1,The four quantities and the circuit they describe,"W01-CETA-v16.3 · NEC awareness, overcurrent protection, and lockout/tagout","v16.3 integrated lesson: subject-specific technical instruction, instructional visual, worked examples, guided practice, changed independent scenario, knowledge checks, and required semantic evidence.","A 3.3 V source is applied to 1.5 kOhm. Calculate current, then state whether 1 mA or 10 mA is the more sensible mental estimate before calculating. | A resistor carries 20 mA with 5 V across it. Find resistance and power. Keep units through every step. | Sketch a source, resistor, return path, and reference node. Mark where a voltmeter connects and where an ammeter would have to be inserted.","A 9 V battery powers an LED branch modeled for this exercise as a 2.0 V LED drop plus a series resistor. Choose a resistor that produces approximately 10 mA, calculate resistor power, choose a sensible resistor power rating, and explain what changes if the resistor is accidentally one tenth the intended value.",Required semantic task SEM-1-01-002; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.,Correct auto-graded lesson checks where applicable; topic-specific constructed-response/performance evidence; changed-context practice; weekly cumulative mastery; physical evidence when required.,"LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.",LAB-001,16.3.64,PASS,"NEC awareness, overcurrent protection, and lockout/tagout",SEM-1-01-002,"Match fuse/breaker type, voltage, current and interrupting rating; Explain time-delay versus fast-acting behavior; Do not bypass or up-rate protection to cure a fault; Describe identify-shutdown-isolate-lock/tag-control stored energy-verify sequence; Distinguish a control command from physical energy isolation",w01-dc-quantities,CETa,CETa semantic baseline v16.3
CETa,1.11,List ladder handling and usage (ANSI A14) and OSHA working at heights safety rules,1,Safety Precautions,1,The four quantities and the circuit they describe,"W01-CETA-v16.3 · Ladders, service vehicles, and fire classes","v16.3 integrated lesson: subject-specific technical instruction, instructional visual, worked examples, guided practice, changed independent scenario, knowledge checks, and required semantic evidence.","A 3.3 V source is applied to 1.5 kOhm. Calculate current, then state whether 1 mA or 10 mA is the more sensible mental estimate before calculating. | A resistor carries 20 mA with 5 V across it. Find resistance and power. Keep units through every step. | Sketch a source, resistor, return path, and reference node. Mark where a voltmeter connects and where an ammeter would have to be inserted.","A 9 V battery powers an LED branch modeled for this exercise as a 2.0 V LED drop plus a series resistor. Choose a resistor that produces approximately 10 mA, calculate resistor power, choose a sensible resistor power rating, and explain what changes if the resistor is accidentally one tenth the intended value.",Required semantic task SEM-1-01-005; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.,Correct auto-graded lesson checks where applicable; topic-specific constructed-response/performance evidence; changed-context practice; weekly cumulative mastery; physical evidence when required.,"LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.",LAB-001,16.3.64,PASS,"Ladders, service vehicles, and fire classes",SEM-1-01-005,Inspect/select/secure ladder and avoid electrical-conductive hazards; Secure transported loads and preserve driver visibility; Correctly identify A/B/C/D/K fire classes; Match extinguisher to fuel/site plan; State trained-response and escape/escalation boundaries,w01-dc-quantities,CETa,CETa semantic baseline v16.3
CETa,1.12,"List service vehicle safety concerns such as ladder or transporting security and flying objects, driver screens inside the vehicle",1,Safety Precautions,1,The four quantities and the circuit they describe,"W01-CETA-v16.3 · Ladders, service vehicles, and fire classes","v16.3 integrated lesson: subject-specific technical instruction, instructional visual, worked examples, guided practice, changed independent scenario, knowledge checks, and required semantic evidence.","A 3.3 V source is applied to 1.5 kOhm. Calculate current, then state whether 1 mA or 10 mA is the more sensible mental estimate before calculating. | A resistor carries 20 mA with 5 V across it. Find resistance and power. Keep units through every step. | Sketch a source, resistor, return path, and reference node. Mark where a voltmeter connects and where an ammeter would have to be inserted.","A 9 V battery powers an LED branch modeled for this exercise as a 2.0 V LED drop plus a series resistor. Choose a resistor that produces approximately 10 mA, calculate resistor power, choose a sensible resistor power rating, and explain what changes if the resistor is accidentally one tenth the intended value.",Required semantic task SEM-1-01-005; required primary lesson gate; v16.3 integrated lesson checks; Week 1 mastery/teach-back.,Correct auto-graded lesson checks where applicable; topic-specific constructed-response/performance evidence; changed-context practice; weekly cumulative mastery; physical evidence when required.,"LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.",LAB-001,16.3.64,PASS,"Ladders, service vehicles, and fire classes",SEM-1-01-005,Inspect/select/secure ladder and avoid electrical-conductive hazards; Secure transported loads and preserve driver visibility; Correctly identify A/B/C/D/K fire classes; Match extinguisher to fuel/site plan; State trained-response and escape/escalation boundaries,w01-dc-quantities,CETa,CETa semantic baseline v16.3
