Week,Track,Section ID,Major Concept / Section,Alfred Instruction,Video Support,Literature Support,Literature Resources,Practical / Application,Coverage Decision
1,CETa,concept-1,Start with charge: what electricity is actually moving,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
1,CETa,concept-10,Power: how quickly electrical energy is transferred,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
1,CETa,concept-11,Put the model together: predict before you measure,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
1,CETa,concept-12,"Shock physiology, emergency response, and First Aid boundaries",YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
1,CETa,concept-13,"NEC awareness, overcurrent protection, and lockout/tagout",YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
1,CETa,concept-14,"ESD, technician tool hazards, and PPE",YES,NO — Alfred/other media remains sufficient for this section,YES,NASA-HDBK-8739.21 — ESD Control,YES,PASS — written companion selected
1,CETa,concept-15,RF exposure and fiber-optic hazards,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
1,CETa,concept-16,"Ladders, service vehicles, and fire classes",YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
1,CETa,concept-2,Current: charge moving through a path over time,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
1,CETa,concept-3,Voltage: an energy difference between two points,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
1,CETa,concept-4,A circuit needs a closed path,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
1,CETa,concept-5,Resistance: why the same voltage does not produce the same current everywhere,YES,YES,YES,DC Circuits — Free Electronics Textbook; Resistivity and Resistance — University Physics Volume 2,CONCEPTUAL FOUNDATION,PASS — written companion selected
1,CETa,concept-6,SI prefixes are multipliers attached to units,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
1,CETa,worked,Worked reasoning,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
1,Career,career-w01-current-limiting-is-a-protective-boundary-and-a-diagnostic-clue,Current limiting is a protective boundary and a diagnostic clue,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
1,Career,career-w01-pre-power-inspection-creates-the-first-known-good-state,Pre-power inspection creates the first known-good state,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
1,Career,career-w01-voltage-resistance-and-current-modes-are-different-circuits,"Voltage, resistance, and current modes are different circuits",YES,YES,YES,Electrical Measurement Safety; How to Use a Multimeter — Comprehensive Guide,YES,PASS — written companion selected
2,CETa,concept-1,Topology determines what is shared,YES,YES,YES,Resistors in Series and Parallel — University Physics Volume 2,CONCEPTUAL FOUNDATION,PASS — written companion selected
2,CETa,concept-10,"Oscillators, multivibrators, and phase-locked loops",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
2,CETa,concept-12,"Filters, integrators/differentiators, and wave shaping",YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
2,CETa,concept-13,Piezoelectric effect and technician applications,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
2,CETa,concept-16,Loaded dividers reveal why measuring changes circuits,YES,NO — Alfred/other media remains sufficient for this section,YES,Voltmeter Impact on a Measured Circuit,YES,PASS — written companion selected
2,CETa,concept-2,Kirchhoff turns conservation into two diagnostic rules,YES,YES,YES,6.002 Circuits and Electronics — Lecture Notes,CONCEPTUAL FOUNDATION,PASS — written companion selected
2,CETa,concept-3,A divider is only ideal when the load is negligible,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
2,CETa,concept-5,Electromagnetism and induction,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
2,CETa,concept-6,Motors and generators as reciprocal energy converters,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
2,CETa,concept-8,"Sources, AC measures, duty cycle, pulse width, Ohm’s law, and power",YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
2,CETa,concept-9,"Series/parallel DC and AC networks, KCL/KVL, and resistive calculations",YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
2,Career,career-w02-fault-patterns-have-structure,Fault patterns have structure,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
3,CETa,concept-1,The DMM is several instruments sharing one display,YES,NO — Alfred/other media remains sufficient for this section,YES,How to Use a Multimeter — Comprehensive Guide,YES,PASS — written companion selected
3,CETa,concept-2,A bench supply has two interacting limits,YES,YES,YES,Electronic Load Fundamentals,YES,PASS — written companion selected
3,CETa,concept-3,An oscilloscope is a voltage-versus-time instrument,YES,YES,YES,XYZs of Oscilloscopes Primer,YES,PASS — written companion selected
3,CETa,concept-5,"Signal generators, frequency counters, RCL substitution, and ESR meters",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
3,CETa,concept-7,Oscilloscope controls and spectrum analyzer operation,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
3,CETa,concept-8,"Dummy loads, rheostats, isolation transformers, Variacs, and potentiometers",YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
