Canonical ID,New in Part 2,Title,Author / Organization,Provider,URL / Source,Literature Type,Access,Assignment Week,Instructional Week,Lesson,Section ID,Section Label,Relationship,Requirement,Inline,Read / Use,Focus On,After Reading,Why Here,Practical / Real-world,Exact Backlink,Target Valid,Orphan,Final Status
flukeSafety,NO — existing written source reused,Electrical Measurement Safety,Fluke,Fluke,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,1,1,Career,career-w01-voltage-resistance-and-current-modes-are-different-circuits,"Voltage, resistance, and current modes are different circuits",Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,"Focus on the evidence or professional practice that directly supports “Voltage, resistance, and current modes are different circuits.”","After using this resource, be able to explain or apply: Separate shock/arc/tool-rating/PPE/lead-condition hazards and know stop/de-energize conditions.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=1&stage=career-lesson&lesson=1&section=career-w01-voltage-resistance-and-current-modes-are-different-circuits&from=media&mediaWeek=1&media=flukeSafety,YES,NO,PASS
flukeMultimeterGuide,NO — existing written source reused,How to Use a Multimeter — Comprehensive Guide,Fluke,Fluke,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,1,1,Career,career-w01-voltage-resistance-and-current-modes-are-different-circuits,"Voltage, resistance, and current modes are different circuits",Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,"Focus on the evidence or professional practice that directly supports “Voltage, resistance, and current modes are different circuits.”","After using this reference, be able to locate, explain, or apply: Confirm the current lead is not left in the amperage jack and do not make resistance/continuity measurements on an energized circuit.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=1&stage=career-lesson&lesson=1&section=career-w01-voltage-resistance-and-current-modes-are-different-circuits&from=media&mediaWeek=1&media=flukeMultimeterGuide,YES,NO,PASS
nasaESD,NO — existing written source reused,NASA-HDBK-8739.21 — ESD Control,NASA,NASA,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,1,1,CETa,concept-14,"ESD, technician tool hazards, and PPE",Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,"Focus on the evidence or professional practice that directly supports “ESD, technician tool hazards, and PPE.”","After using this reference, be able to locate, explain, or apply: Keep ESD control distinct from shock protection. Use approved grounding devices/procedures and do not improvise a direct body-to-ground connection around energized hazards.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-14&from=media&mediaWeek=1&media=nasaESD,YES,NO,PASS
aacMeterLoading,NO — existing written source reused,Voltmeter Impact on a Measured Circuit,All About Circuits,All About Circuits,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,2,2,CETa,concept-16,Loaded dividers reveal why measuring changes circuits,Demonstrated in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “Loaded dividers reveal why measuring changes circuits.”,"After using this resource, be able to explain or apply: Replace the loaded leg with the correct parallel equivalent and recalculate Vout.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-16&from=media&mediaWeek=2&media=aacMeterLoading,YES,NO,PASS
flukeMultimeterGuide,NO — existing written source reused,How to Use a Multimeter — Comprehensive Guide,Fluke,Fluke,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,3,3,CETa,concept-1,The DMM is several instruments sharing one display,Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “The DMM is several instruments sharing one display.”,"After using this reference, be able to locate, explain, or apply: For every mode, state energized/de-energized condition, jack choice and series/parallel placement.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=3&stage=ceta-lesson&lesson=0&section=concept-1&from=media&mediaWeek=3&media=flukeMultimeterGuide,YES,NO,PASS
tekScopeSetup,NO — existing written source reused,How to Use an Oscilloscope and Probe — Step-by-Step Tutorial,Tektronix,Tektronix,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,3,3,Career,career-w03-reference-grounding-loading-and-bandwidth-can-change-the-result,"Reference, grounding, loading, and bandwidth can change the result",Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,"Focus on the evidence or professional practice that directly supports “Reference, grounding, loading, and bandwidth can change the result.”","After using this resource, be able to explain or apply: Treat probe ground as an electrical connection; verify attenuation/compensation and preserve settings.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=3&stage=career-lesson&lesson=1&section=career-w03-reference-grounding-loading-and-bandwidth-can-change-the-result&from=media&mediaWeek=3&media=tekScopeSetup,YES,NO,PASS
keysightElectronicLoadBasics,NO — existing written source reused,Electronic Load Fundamentals,Keysight Technologies,Keysight Technologies,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,3,3,CETa,concept-2,A bench supply has two interacting limits,Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “A bench supply has two interacting limits.”,"After using this resource, be able to explain or apply: Check voltage/current/power limits and thermal capacity before connecting; distinguish a passive dummy load from an actively controlled electronic load.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=3&stage=ceta-lesson&lesson=0&section=concept-2&from=media&mediaWeek=3&media=keysightElectronicLoadBasics,YES,NO,PASS
mitLabs,NO — existing written source reused,6.002 Laboratory Materials,MIT OpenCourseWare,MIT OpenCourseWare,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,5,5,Career,career-w05-verification-is-more-than-seeing-the-output-once,Verification is more than seeing the output once,Used in,supporting,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “Verification is more than seeing the output once.”,"After using this reference, be able to locate, explain, or apply: Identify what makes a result reproducible and defensible.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=5&stage=career-lesson&lesson=1&section=career-w05-verification-is-more-than-seeing-the-output-once&from=media&mediaWeek=5&media=mitLabs,YES,NO,PASS
aacResonantFilters,NO — existing written source reused,Resonant Filters,All About Circuits,All About Circuits,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,6,6,CETa,concept-3,Resonance and transformation are controlled relationships,Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “Resonance and transformation are controlled relationships.”,"After using this resource, be able to explain or apply: Distinguish series-resonant minimum impedance from parallel-resonant maximum impedance and relate both to the frequency response.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=6&stage=ceta-lesson&lesson=0&section=concept-3&from=media&mediaWeek=6&media=aacResonantFilters,YES,NO,PASS
tiSwitchingRegulatorFundamentals,NO — existing written source reused,Switching Regulator Fundamentals,Texas Instruments,Texas Instruments,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,9,9,CETa,concept-7,Switch-mode power supply operation,Used in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “Switch-mode power supply operation.”,"After using this reference, be able to locate, explain, or apply: Trace inductor/capacitor current paths during switch ON/OFF intervals.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=9&stage=ceta-lesson&lesson=0&section=concept-7&from=media&mediaWeek=9&media=tiSwitchingRegulatorFundamentals,YES,NO,PASS
