"track","code","officialRequirement","category","categoryTitle","week","lesson","teachingSection","teachingLevel","guidedPractice","independentPractice","assessmentEvidence","masteryEvidence","laboratoryEvidence","labId"
"CETa","1.1","Describe the physiological reactions electrical shock causes","1","Safety Precautions","1","The four quantities and the circuit they describe","W01-CETA-DEPTH · Competency clinic","Alfred-authored explanation with mechanism, distinction, example, misconception, and evidence rule","Underline the action verb; explain 1.1 in plain language; give a circuit, instrument, component, code, procedure, or work example; then state valid evidence.","Apply 1.1 in a changed scenario without notes and distinguish the correct reasoning from one plausible shortcut.","Current reviewed question mapped to CETA:1.1; in-lesson knowledge check; Week 1 mastery/teach-back.","Correct retrieval, changed-context transfer, explanation of the tempting error, and later cumulative/retention evidence; safety-critical work also requires the stated perfect check.","LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.","LAB-001"
"CETa","1.2","Explain the First Aid concepts and its particular importance to workers in electric and electronics fields explaining precautions for the untrained","1","Safety Precautions","1","The four quantities and the circuit they describe","W01-CETA-DEPTH · Competency clinic","Alfred-authored explanation with mechanism, distinction, example, misconception, and evidence rule","Underline the action verb; explain 1.2 in plain language; give a circuit, instrument, component, code, procedure, or work example; then state valid evidence.","Apply 1.2 in a changed scenario without notes and distinguish the correct reasoning from one plausible shortcut.","Current reviewed question mapped to CETA:1.2; in-lesson knowledge check; Week 1 mastery/teach-back.","Correct retrieval, changed-context transfer, explanation of the tempting error, and later cumulative/retention evidence; safety-critical work also requires the stated perfect check.","LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.","LAB-001"
"CETa","1.3","Explain the National Fire Protection Association (NFPA®) 70 rules described as the National Electrical Code® - NEC®, explaining how technicians comply with safety and installations","1","Safety Precautions","1","The four quantities and the circuit they describe","W01-CETA-DEPTH · Competency clinic","Alfred-authored explanation with mechanism, distinction, example, misconception, and evidence rule","Underline the action verb; explain 1.3 in plain language; give a circuit, instrument, component, code, procedure, or work example; then state valid evidence.","Apply 1.3 in a changed scenario without notes and distinguish the correct reasoning from one plausible shortcut.","Current reviewed question mapped to CETA:1.3; in-lesson knowledge check; Week 1 mastery/teach-back.","Correct retrieval, changed-context transfer, explanation of the tempting error, and later cumulative/retention evidence; safety-critical work also requires the stated perfect check.","LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.","LAB-001"
"CETa","1.4","Describe fusing and circuit breaker rules and reasons for different type of fuses","1","Safety Precautions","1","The four quantities and the circuit they describe","W01-CETA-DEPTH · Competency clinic","Alfred-authored explanation with mechanism, distinction, example, misconception, and evidence rule","Underline the action verb; explain 1.4 in plain language; give a circuit, instrument, component, code, procedure, or work example; then state valid evidence.","Apply 1.4 in a changed scenario without notes and distinguish the correct reasoning from one plausible shortcut.","Current reviewed question mapped to CETA:1.4; in-lesson knowledge check; Week 1 mastery/teach-back.","Correct retrieval, changed-context transfer, explanation of the tempting error, and later cumulative/retention evidence; safety-critical work also requires the stated perfect check.","LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.","LAB-001"
"CETa","1.5","Explain static causes, electrostatic discharge and CMOS damage prevention straps, mats and grounding","1","Safety Precautions","1","The four quantities and the circuit they describe","W01-CETA-DEPTH · Competency clinic","Alfred-authored explanation with mechanism, distinction, example, misconception, and evidence rule","Underline the action verb; explain 1.5 in plain language; give a circuit, instrument, component, code, procedure, or work example; then state valid evidence.","Apply 1.5 in a changed scenario without notes and distinguish the correct reasoning from one plausible shortcut.","Current reviewed question mapped to CETA:1.5; in-lesson knowledge check; Week 1 mastery/teach-back.","Correct retrieval, changed-context transfer, explanation of the tempting error, and later cumulative/retention evidence; safety-critical work also requires the stated perfect check.","LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.","LAB-001"
"CETa","1.7","Describe lockout/tag out rules for potentially unsafe electrical or mechanical hazards","1","Safety Precautions","1","The four quantities and the circuit they describe","W01-CETA-DEPTH · Competency clinic","Alfred-authored explanation with mechanism, distinction, example, misconception, and evidence rule","Underline the action verb; explain 1.7 in plain language; give a circuit, instrument, component, code, procedure, or work example; then state valid evidence.","Apply 1.7 in a changed scenario without notes and distinguish the correct reasoning from one plausible shortcut.","Current reviewed question mapped to CETA:1.7; in-lesson knowledge check; Week 1 mastery/teach-back.","Correct retrieval, changed-context transfer, explanation of the tempting error, and later cumulative/retention evidence; safety-critical work also requires the stated perfect check.","LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.","LAB-001"
"CETa","1.10.1","Describe PPE (personal protection equipment) needs, i.e. NFPA Table 130.5(c)","1","Safety Precautions","1","The four quantities and the circuit they describe","W01-CETA-DEPTH · Competency clinic","Alfred-authored explanation with mechanism, distinction, example, misconception, and evidence rule","Underline the action verb; explain 1.10.1 in plain language; give a circuit, instrument, component, code, procedure, or work example; then state valid evidence.","Apply 1.10.1 in a changed scenario without notes and distinguish the correct reasoning from one plausible shortcut.","Current reviewed question mapped to CETA:1.10.1; in-lesson knowledge check; Week 1 mastery/teach-back.","Correct retrieval, changed-context transfer, explanation of the tempting error, and later cumulative/retention evidence; safety-critical work also requires the stated perfect check.","LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.","LAB-001"
"CETa","1.10.3","Describe other OSHA safety rules","1","Safety Precautions","1","The four quantities and the circuit they describe","W01-CETA-DEPTH · Competency clinic","Alfred-authored explanation with mechanism, distinction, example, misconception, and evidence rule","Underline the action verb; explain 1.10.3 in plain language; give a circuit, instrument, component, code, procedure, or work example; then state valid evidence.","Apply 1.10.3 in a changed scenario without notes and distinguish the correct reasoning from one plausible shortcut.","Current reviewed question mapped to CETA:1.10.3; in-lesson knowledge check; Week 1 mastery/teach-back.","Correct retrieval, changed-context transfer, explanation of the tempting error, and later cumulative/retention evidence; safety-critical work also requires the stated perfect check.","LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.","LAB-001"
"CETa","1.11","List ladder handling and usage (ANSI A14) and OSHA working at heights safety rules","1","Safety Precautions","1","The four quantities and the circuit they describe","W01-CETA-DEPTH · Competency clinic","Alfred-authored explanation with mechanism, distinction, example, misconception, and evidence rule","Underline the action verb; explain 1.11 in plain language; give a circuit, instrument, component, code, procedure, or work example; then state valid evidence.","Apply 1.11 in a changed scenario without notes and distinguish the correct reasoning from one plausible shortcut.","Current reviewed question mapped to CETA:1.11; in-lesson knowledge check; Week 1 mastery/teach-back.","Correct retrieval, changed-context transfer, explanation of the tempting error, and later cumulative/retention evidence; safety-critical work also requires the stated perfect check.","LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.","LAB-001"
"CETa","1.12","List service vehicle safety concerns such as ladder or transporting security and flying objects, driver screens inside the vehicle","1","Safety Precautions","1","The four quantities and the circuit they describe","W01-CETA-DEPTH · Competency clinic","Alfred-authored explanation with mechanism, distinction, example, misconception, and evidence rule","Underline the action verb; explain 1.12 in plain language; give a circuit, instrument, component, code, procedure, or work example; then state valid evidence.","Apply 1.12 in a changed scenario without notes and distinguish the correct reasoning from one plausible shortcut.","Current reviewed question mapped to CETA:1.12; in-lesson knowledge check; Week 1 mastery/teach-back.","Correct retrieval, changed-context transfer, explanation of the tempting error, and later cumulative/retention evidence; safety-critical work also requires the stated perfect check.","LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.","LAB-001"
"CETa","1.13","Differentiate the classes of fires (A, B, C, D & K) and the types of extinguishers used to fight them","1","Safety Precautions","1","The four quantities and the circuit they describe","W01-CETA-DEPTH · Competency clinic","Alfred-authored explanation with mechanism, distinction, example, misconception, and evidence rule","Underline the action verb; explain 1.13 in plain language; give a circuit, instrument, component, code, procedure, or work example; then state valid evidence.","Apply 1.13 in a changed scenario without notes and distinguish the correct reasoning from one plausible shortcut.","Current reviewed question mapped to CETA:1.13; in-lesson knowledge check; Week 1 mastery/teach-back.","Correct retrieval, changed-context transfer, explanation of the tempting error, and later cumulative/retention evidence; safety-critical work also requires the stated perfect check.","LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.","LAB-001"
"CETa","1.14","Explain emergency responses/treatments for the above safety issues","1","Safety Precautions","1","The four quantities and the circuit they describe","W01-CETA-DEPTH · Competency clinic","Alfred-authored explanation with mechanism, distinction, example, misconception, and evidence rule","Underline the action verb; explain 1.14 in plain language; give a circuit, instrument, component, code, procedure, or work example; then state valid evidence.","Apply 1.14 in a changed scenario without notes and distinguish the correct reasoning from one plausible shortcut.","Current reviewed question mapped to CETA:1.14; in-lesson knowledge check; Week 1 mastery/teach-back.","Correct retrieval, changed-context transfer, explanation of the tempting error, and later cumulative/retention evidence; safety-critical work also requires the stated perfect check.","LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.","LAB-001"
"CETa","2.1","Describe atomic structure, the components of the atom, their charges and importance to electronics technology","2","Electrical Theory","1","The four quantities and the circuit they describe","W01-CETA-DEPTH · Competency clinic","Alfred-authored explanation with mechanism, distinction, example, misconception, and evidence rule","Underline the action verb; explain 2.1 in plain language; give a circuit, instrument, component, code, procedure, or work example; then state valid evidence.","Apply 2.1 in a changed scenario without notes and distinguish the correct reasoning from one plausible shortcut.","Current reviewed question mapped to CETA:2.1; in-lesson knowledge check; Week 1 mastery/teach-back.","Correct retrieval, changed-context transfer, explanation of the tempting error, and later cumulative/retention evidence; safety-critical work also requires the stated perfect check.","LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.","LAB-001"
"CETa","2.4","Explain basic uses for electricity","2","Electrical Theory","1","The four quantities and the circuit they describe","W01-CETA-DEPTH · Competency clinic","Alfred-authored explanation with mechanism, distinction, example, misconception, and evidence rule","Underline the action verb; explain 2.4 in plain language; give a circuit, instrument, component, code, procedure, or work example; then state valid evidence.","Apply 2.4 in a changed scenario without notes and distinguish the correct reasoning from one plausible shortcut.","Current reviewed question mapped to CETA:2.4; in-lesson knowledge check; Week 1 mastery/teach-back.","Correct retrieval, changed-context transfer, explanation of the tempting error, and later cumulative/retention evidence; safety-critical work also requires the stated perfect check.","LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.","LAB-001"
"CETa","2.13","List Ohm’s law formulas for current, voltage, resistance and power","2","Electrical Theory","1","The four quantities and the circuit they describe","W01-CETA-DEPTH · Competency clinic","Alfred-authored explanation with mechanism, distinction, example, misconception, and evidence rule","Underline the action verb; explain 2.13 in plain language; give a circuit, instrument, component, code, procedure, or work example; then state valid evidence.","Apply 2.13 in a changed scenario without notes and distinguish the correct reasoning from one plausible shortcut.","Current reviewed question mapped to CETA:2.13; in-lesson knowledge check; Week 1 mastery/teach-back.","Correct retrieval, changed-context transfer, explanation of the tempting error, and later cumulative/retention evidence; safety-critical work also requires the stated perfect check.","LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.","LAB-001"
"CETa","2.13.1","Explain how to calculate problems utilizing each formula","2","Electrical Theory","1","The four quantities and the circuit they describe","W01-CETA-DEPTH · Competency clinic","Alfred-authored explanation with mechanism, distinction, example, misconception, and evidence rule","Underline the action verb; explain 2.13.1 in plain language; give a circuit, instrument, component, code, procedure, or work example; then state valid evidence.","Apply 2.13.1 in a changed scenario without notes and distinguish the correct reasoning from one plausible shortcut.","Current reviewed question mapped to CETA:2.13.1; in-lesson knowledge check; Week 1 mastery/teach-back.","Correct retrieval, changed-context transfer, explanation of the tempting error, and later cumulative/retention evidence; safety-critical work also requires the stated perfect check.","LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.","LAB-001"
"CETa","2.14","Explain how to calculate power consumption and requirements","2","Electrical Theory","1","The four quantities and the circuit they describe","W01-CETA-DEPTH · Competency clinic","Alfred-authored explanation with mechanism, distinction, example, misconception, and evidence rule","Underline the action verb; explain 2.14 in plain language; give a circuit, instrument, component, code, procedure, or work example; then state valid evidence.","Apply 2.14 in a changed scenario without notes and distinguish the correct reasoning from one plausible shortcut.","Current reviewed question mapped to CETA:2.14; in-lesson knowledge check; Week 1 mastery/teach-back.","Correct retrieval, changed-context transfer, explanation of the tempting error, and later cumulative/retention evidence; safety-critical work also requires the stated perfect check.","LAB-001: Calculation with units, pre-power checklist, circuit/simulation image, measured voltage and current, percent difference, and one troubleshooting observation. Physical proficiency is credited only on the physical route.","LAB-001"
