Week,Major Concepts / Sections,Literature Placements,Unique Literature Resources,Exact Lesson Relationships,Orphans,Broken Links,Status
1,"A circuit needs a closed path; Put the model together: predict before you measure; Power: how quickly electrical energy is transferred; Pre-power inspection creates the first known-good state; SI prefixes are multipliers attached to units; Voltage, resistance, and current modes are different circuits; Resistance: why the same voltage does not produce the same current everywhere; Current: charge moving through a path over time; …",5,5,5,0,0,PASS
2,Kirchhoff turns conservation into two diagnostic rules; Electromagnetism and induction; Loaded dividers reveal why measuring changes circuits; Topology determines what is shared; A divider is only ideal when the load is negligible; Fault patterns have structure; Piezoelectric effect and technician applications; Motors and generators as reciprocal energy converters; …,3,3,3,0,0,PASS
3,"Dummy loads, rheostats, isolation transformers, Variacs, and potentiometers; Signal generators, frequency counters, RCL substitution, and ESR meters; The DMM is several instruments sharing one display; Use the DMM and bench supply for slow or static evidence; A bench supply has two interacting limits; Oscilloscope controls and spectrum analyzer operation; Reference, grounding, loading, and bandwidth can change the result; An oscilloscope is a voltage-versus-time instrument",6,6,6,0,0,PASS
4,"Capacitors oppose instantaneous voltage change; Decibels and graphs as engineering representations; Inductors oppose instantaneous current change; Waveform vocabulary connects the time domain to measurements; A waveform needs both vertical and horizontal descriptions; Time-domain and frequency-domain evidence describe the same network; Core formulas, SI prefixes, NIST spelling exceptions, and scientific notation",2,2,2,0,0,PASS
5,Start with an observable failure statement; Let each measurement shrink the fault space; Competing hypotheses make measurements useful; Root cause requires verification after the fix; Practice and misconceptions; Verification is more than seeing the output once,2,2,2,0,0,PASS
6,Reactance is frequency-dependent opposition; Resonance and transformation are controlled relationships; Resonance is cancellation of opposite reactances; Characterization starts with a model and a sweep plan,3,3,3,0,0,PASS
7,"Transistors: BJT, JFET, MOSFET, CMOS, IGBT, and Darlington behavior; Capacitors: type, variable capacitance, charge, and coulombs; Resistor families, markings, thermistors, and potentiometers; SCR/DIAC/TRIAC and diode families; Electricity and magnetism convert energy in both directions; Relays separate coil control from switched contacts; Inductors and transformers: construction, cores, turns, and laminations; Integrated circuits and relay types including solid-state relays; …",3,3,3,0,0,PASS
8,A BJT is controlled by base current; Thyristors and specialized diodes have specific triggering behavior; A diode is directional but not an ideal check valve; A MOSFET is controlled by gate-to-source voltage; BJT and FET devices control current differently; Semiconductor junctions create controllable nonlinear behavior; Three node measurements usually reveal the stage that failed; Start from the load and work backward; …,1,1,1,0,0,PASS
9,"Regulation trades voltage, current, heat, noise, and complexity; Follow the block chain; The filter capacitor supplies load between peaks; Linear supplies move through recognizable blocks; Power-supply hazards, transformer versus line-connected supplies, and protection; Use rail behavior to distinguish source, regulator, and load faults; Batteries, charging, capacity, and protection; Switch-mode power supply operation",3,3,3,0,0,PASS
10,"Amplifier roles, classes, stages, and frequency response; BJT and FET amplifier bias, gain, and power; Gain is an input-to-output ratio with conditions; Operational amplifiers and gain analysis; Report gain across frequency and load; Distortion, loading, buffering, and measurement error; Op-amp rules are conditional approximations",1,1,1,0,0,PASS
11,"Number bases are different representations of the same value; Logic gates implement conditions; Unconnected inputs do not have a reliable state; Logic gates, truth tables, and flip-flops; Digital displays and microcontrollers; Counters, buses, clocks, timing, and logic families; A logical 1 is a voltage range, not the word “high”; Sequential logic remembers state; …",4,4,4,0,0,PASS
12,"Heat shunts, cold joints, and good mechanical/electrical connections; Desoldering principles, equipment care, and solder wick; Rework has a damage budget; A good joint comes from clean surfaces, correct heat, and wetting; Command-line navigation is a small reproducibility tool, not assumed knowledge; Solder safety, fumes, splatter, flux, and alloy choice; ESD control is specific to the work state; Career integration: solder/rework workmanship and harness evidence; …",6,6,6,0,0,PASS
13,Each drawing answers a different question; A datasheet is conditional evidence; Read from rails and references into functional blocks; Build a fault model before probing; Building wiring awareness and flowcharts; Choose a high-information test,1,1,1,0,0,PASS
14,"Computer architecture, CPU blocks, memory, block diagrams, and flowcharts; Peripherals and interface devices/cards; PLC purpose, scan cycle, programming concepts, and languages; Career integration: C programming as testable technical work; Addresses and pointers make memory locations explicit; A C program is source text that must be translated before it runs; A computer repeatedly moves, transforms, and stores information",1,1,1,0,0,PASS
15,"A state machine makes history explicit; Map C onto a microcontroller before adding concurrency; State machines make behavior explicit; Blocking code prevents other work from happening; Career integration: embedded C, MCU architecture, and nonblocking design",1,1,1,0,0,PASS
16,"An MCU is a computer plus tightly integrated peripherals; Clock and reset state determine whether configuration means anything; A project contains source, configuration, and a build recipe; SWD exposes internal state but can alter timing",1,1,1,0,0,PASS
17,"Program installation, utilities, backups, downloads, and recovery; Basic operation, setup/configuration, and stand-alone versus networked computers; Surges versus malware and practical cybersecurity/network use; Use pySerial as a visible port → bytes → message pipeline; UART shares timing rules instead of a clock wire; Define the serial contract before writing the client",2,2,2,0,0,PASS
18,"Signal levels, connectors, grounding, mismatch, and conflict symptoms; Translate one I²C datasheet into a wiring and transaction contract; Learn the logic analyzer on that known-good I²C transaction; I2C uses shared open-drain lines and addressing; Only now generalize the model to SPI; Run one small SPI comparison transaction; I DO: prove an I²C identity-register read end to end; USB, I2C, and Zigbee interfaces",5,5,5,0,0,PASS
19,"Audio/video blocks, microphones, speakers, recording and playback; Cameras, opto-isolators, and broadband optical links; Photovoltaic cells, photodiodes, phototransistors, LDRs, materials, and symbols; Display technologies: LED, seven-segment, LCD, OLED, and tradeoffs; Coax, copper pairs, fiber, impedance, and termination; Bonding, splicing, crimping, and cable preparation; Cable testing, dB loss, connectors, and defects; Interfacing, distortion, conflicts, fault isolation, and signal levels",1,1,1,0,0,PASS
20,"Antennas, feedlines, impedance matching, SWR/VSWR, and feedline types; Wired data/voice networks and POTS; RF systems move information through electromagnetic energy; Two-way, cellular/wireless, and satellite communications; Modulation and receivers transform representation; Classify spectral features before explaining their cause; RF behavior depends on frequency and physical geometry; A spectrum analyzer shows signal energy versus frequency",1,1,1,0,0,PASS
21,"Turn misses into a standards repair map; Use a compact scratch framework; Repair the cause, not the score; Breadth requires selection practice",1,1,1,0,0,PASS
22,"Career integration: Git, command line, lab notes, reports, and technical handoff; A requirement describes observable behavior and conditions; Verification asks whether it meets the requirement; Traceability controls scope",4,4,4,0,0,PASS
23,A bill of materials must resolve ambiguity; A repository is the project’s reconstructable memory; Plan first power as a test case; A baseline is a recoverable state; Recovery paths are part of readiness; A controlled baseline isolates future change,4,4,4,0,0,PASS
24,Unpowered checks find cheap faults; First power is a controlled experiment; Safety gates remain absolute; Bring up dependencies in order,1,1,1,0,0,PASS
25,Failure behavior is part of the feature; Triangulate with independent evidence; Build a thin end-to-end slice first; Isolation changes reference relationships; Optical isolation solves one problem while creating design constraints,4,4,4,0,0,PASS
26,Diagnostics must survive the failure they describe; Memory and time define embedded correctness; Architecture follows responsibilities and test seams; Separate hardware access from application decisions; Timeouts and error states make absence observable; Make errors explicit and recoverable,4,4,4,0,0,PASS
27,"Career integration: Python hardware-test automation and data integrity; Summaries and plots answer a hardware question; Verdicts need explicit semantics; A test case has setup, stimulus, acquisition, evaluation, cleanup, and report stages; Automated test is still a physical measurement system",2,2,2,0,0,PASS
28,"Service literature, parts cross-reference, and manufacturer support; The report should show the reasoning chain; Field versus shop procedure and project management; Fault injection validates the detector and diagnostic path; Career integration: verification, validation, test design, and traceability; Controlled fault injection needs a known-good baseline; Field versus shop changes constraints, not physics; Service business records, invoices, productivity, and estimates/test planning; …",3,3,3,0,0,PASS
